enrolment_id,student_id,course_id,department,level,credits,enrolment_date,status,is_completed,is_withdrawn
ENR-000001,STU-02941,CRS-0089,Law School,PhD,15,2024-09-28,Completed,1,0
ENR-000002,STU-03734,CRS-0027,Business,PhD,15,2025-09-27,Enrolled,0,0
ENR-000003,STU-03633,CRS-0077,Law School,Undergraduate,30,2023-09-18,Enrolled,0,0
ENR-000004,STU-04779,CRS-0011,Computing,PhD,20,2023-10-03,Failed,0,0
ENR-000005,STU-04303,CRS-0054,Medical School,Postgraduate,10,2025-10-05,Completed,1,0
ENR-000006,STU-01070,CRS-0079,Law School,Undergraduate,15,2022-10-01,Completed,1,0
ENR-000007,STU-01552,CRS-0031,Engineering,Undergraduate,10,2023-10-04,Failed,0,0
ENR-000008,STU-04298,CRS-0066,Arts,Postgraduate,15,2023-09-24,Completed,1,0
ENR-000009,STU-03202,CRS-0073,Arts,PhD,20,2023-10-09,Completed,1,0
ENR-000010,STU-03639,CRS-0007,Computing,Postgraduate,20,2023-10-02,Withdrawn,0,1
ENR-000011,STU-02345,CRS-0113,Social Sciences,Postgraduate,20,2022-09-28,Completed,1,0
ENR-000012,STU-00827,CRS-0051,Medical School,Postgraduate,30,2023-10-02,Failed,0,0
ENR-000013,STU-00562,CRS-0051,Medical School,Postgraduate,30,2023-10-03,Enrolled,0,0
ENR-000014,STU-00031,CRS-0116,Social Sciences,PhD,20,2025-09-18,Enrolled,0,0
ENR-000015,STU-01455,CRS-0103,Education Dept,PhD,30,2024-09-19,Completed,1,0
ENR-000016,STU-04491,CRS-0056,Medical School,PhD,10,2022-09-16,Enrolled,0,0
ENR-000017,STU-02721,CRS-0042,Engineering,PhD,30,2025-09-21,Withdrawn,0,1
ENR-000018,STU-00999,CRS-0018,Business,Undergraduate,15,2022-10-02,Failed,0,0
ENR-000019,STU-00342,CRS-0095,Education Dept,Undergraduate,10,2023-09-21,Completed,1,0
ENR-000020,STU-00728,CRS-0066,Arts,Postgraduate,15,2023-09-11,Completed,1,0
ENR-000021,STU-04555,CRS-0106,Social Sciences,Undergraduate,10,2022-09-25,Completed,1,0
ENR-000022,STU-00097,CRS-0076,Law School,Undergraduate,30,2025-09-03,Failed,0,0
ENR-000023,STU-03732,CRS-0042,Engineering,PhD,30,2024-09-22,Withdrawn,0,1
ENR-000024,STU-04889,CRS-0011,Computing,PhD,20,2022-09-14,Completed,1,0
ENR-000025,STU-03814,CRS-0017,Business,Undergraduate,15,2024-09-12,Enrolled,0,0
ENR-000026,STU-03675,CRS-0056,Medical School,PhD,10,2023-09-27,Enrolled,0,0
ENR-000027,STU-04523,CRS-0099,Education Dept,Postgraduate,30,2024-09-21,Failed,0,0
ENR-000028,STU-04992,CRS-0103,Education Dept,PhD,30,2024-10-03,Completed,1,0
ENR-000029,STU-02935,CRS-0002,Computing,Undergraduate,10,2024-09-18,Failed,0,0
ENR-000030,STU-02223,CRS-0083,Law School,Postgraduate,20,2025-10-06,Failed,0,0
ENR-000031,STU-00219,CRS-0084,Law School,Postgraduate,30,2022-09-25,Completed,1,0
ENR-000032,STU-00844,CRS-0119,Social Sciences,PhD,30,2023-10-04,Completed,1,0
ENR-000033,STU-03211,CRS-0112,Social Sciences,Postgraduate,30,2024-09-22,Withdrawn,0,1
ENR-000034,STU-02537,CRS-0055,Medical School,Postgraduate,30,2023-10-02,Failed,0,0
ENR-000035,STU-00031,CRS-0114,Social Sciences,Postgraduate,15,2025-09-18,Completed,1,0
ENR-000036,STU-04999,CRS-0039,Engineering,Postgraduate,10,2022-09-25,Completed,1,0
ENR-000037,STU-02654,CRS-0103,Education Dept,PhD,30,2024-09-30,Completed,1,0
ENR-000038,STU-02493,CRS-0066,Arts,Postgraduate,15,2024-09-22,Completed,1,0
ENR-000039,STU-00708,CRS-0080,Law School,Undergraduate,15,2024-09-18,Completed,1,0
ENR-000040,STU-03141,CRS-0061,Arts,Undergraduate,30,2024-09-15,Completed,1,0
ENR-000041,STU-02665,CRS-0085,Law School,Postgraduate,10,2024-09-14,Completed,1,0
ENR-000042,STU-01415,CRS-0091,Education Dept,Undergraduate,15,2024-09-17,Enrolled,0,0
ENR-000043,STU-03793,CRS-0007,Computing,Postgraduate,20,2022-10-11,Completed,1,0
ENR-000044,STU-01687,CRS-0100,Education Dept,Postgraduate,15,2022-09-05,Enrolled,0,0
ENR-000045,STU-01046,CRS-0094,Education Dept,Undergraduate,10,2025-09-15,Enrolled,0,0
ENR-000046,STU-00677,CRS-0003,Computing,Undergraduate,15,2023-10-08,Failed,0,0
ENR-000047,STU-03121,CRS-0063,Arts,Undergraduate,30,2023-10-06,Completed,1,0
ENR-000048,STU-04918,CRS-0091,Education Dept,Undergraduate,15,2024-09-05,Completed,1,0
ENR-000049,STU-00521,CRS-0076,Law School,Undergraduate,30,2023-09-10,Withdrawn,0,1
ENR-000050,STU-02150,CRS-0054,Medical School,Postgraduate,10,2024-09-29,Completed,1,0
ENR-000051,STU-00539,CRS-0048,Medical School,Undergraduate,10,2023-09-26,Enrolled,0,0
ENR-000052,STU-04170,CRS-0007,Computing,Postgraduate,20,2023-09-09,Withdrawn,0,1
ENR-000053,STU-03854,CRS-0027,Business,PhD,15,2024-09-18,Enrolled,0,0
ENR-000054,STU-03626,CRS-0060,Medical School,PhD,15,2024-10-08,Withdrawn,0,1
ENR-000055,STU-03432,CRS-0022,Business,Postgraduate,30,2023-09-15,Withdrawn,0,1
ENR-000056,STU-02381,CRS-0037,Engineering,Postgraduate,20,2022-09-19,Completed,1,0
ENR-000057,STU-00955,CRS-0101,Education Dept,PhD,20,2023-10-07,Completed,1,0
ENR-000058,STU-03405,CRS-0052,Medical School,Postgraduate,20,2024-09-14,Completed,1,0
ENR-000059,STU-03851,CRS-0011,Computing,PhD,20,2024-10-08,Completed,1,0
ENR-000060,STU-00393,CRS-0019,Business,Undergraduate,20,2023-09-24,Completed,1,0
ENR-000061,STU-04653,CRS-0031,Engineering,Undergraduate,10,2024-09-27,Completed,1,0
ENR-000062,STU-04835,CRS-0012,Computing,PhD,20,2022-09-24,Completed,1,0
ENR-000063,STU-03560,CRS-0067,Arts,Postgraduate,10,2022-09-08,Enrolled,0,0
ENR-000064,STU-04340,CRS-0002,Computing,Undergraduate,10,2023-09-25,Enrolled,0,0
ENR-000065,STU-04869,CRS-0107,Social Sciences,Undergraduate,10,2023-10-09,Completed,1,0
ENR-000066,STU-01853,CRS-0103,Education Dept,PhD,30,2022-10-08,Completed,1,0
ENR-000067,STU-01610,CRS-0084,Law School,Postgraduate,30,2023-09-14,Withdrawn,0,1
ENR-000068,STU-02903,CRS-0043,Engineering,PhD,20,2024-09-22,Completed,1,0
ENR-000069,STU-02523,CRS-0116,Social Sciences,PhD,20,2024-09-19,Enrolled,0,0
ENR-000070,STU-03794,CRS-0072,Arts,PhD,15,2024-09-11,Completed,1,0
ENR-000071,STU-02501,CRS-0113,Social Sciences,Postgraduate,20,2024-09-29,Enrolled,0,0
ENR-000072,STU-04448,CRS-0053,Medical School,Postgraduate,30,2024-09-23,Completed,1,0
ENR-000073,STU-01212,CRS-0096,Education Dept,Postgraduate,30,2024-09-16,Completed,1,0
ENR-000074,STU-00996,CRS-0011,Computing,PhD,20,2025-09-11,Completed,1,0
ENR-000075,STU-03483,CRS-0072,Arts,PhD,15,2025-09-15,Withdrawn,0,1
ENR-000076,STU-00643,CRS-0101,Education Dept,PhD,20,2022-09-21,Completed,1,0
ENR-000077,STU-02382,CRS-0002,Computing,Undergraduate,10,2025-10-03,Completed,1,0
ENR-000078,STU-00008,CRS-0065,Arts,Undergraduate,10,2022-09-23,Enrolled,0,0
ENR-000079,STU-00154,CRS-0006,Computing,Postgraduate,10,2025-09-26,Completed,1,0
ENR-000080,STU-02284,CRS-0108,Social Sciences,Undergraduate,15,2024-09-12,Enrolled,0,0
ENR-000081,STU-01454,CRS-0111,Social Sciences,Postgraduate,15,2022-09-24,Completed,1,0
ENR-000082,STU-01208,CRS-0042,Engineering,PhD,30,2025-10-06,Completed,1,0
ENR-000083,STU-04557,CRS-0048,Medical School,Undergraduate,10,2024-09-05,Completed,1,0
ENR-000084,STU-01820,CRS-0026,Business,PhD,30,2023-09-30,Completed,1,0
ENR-000085,STU-00838,CRS-0036,Engineering,Postgraduate,30,2024-09-28,Completed,1,0
ENR-000086,STU-04359,CRS-0022,Business,Postgraduate,30,2022-09-12,Completed,1,0
ENR-000087,STU-00763,CRS-0091,Education Dept,Undergraduate,15,2024-09-10,Completed,1,0
ENR-000088,STU-04553,CRS-0083,Law School,Postgraduate,20,2025-10-10,Completed,1,0
ENR-000089,STU-03641,CRS-0056,Medical School,PhD,10,2022-10-01,Completed,1,0
ENR-000090,STU-03842,CRS-0113,Social Sciences,Postgraduate,20,2024-09-19,Completed,1,0
ENR-000091,STU-03340,CRS-0052,Medical School,Postgraduate,20,2022-09-14,Enrolled,0,0
ENR-000092,STU-03762,CRS-0057,Medical School,PhD,15,2024-09-15,Enrolled,0,0
ENR-000093,STU-03538,CRS-0060,Medical School,PhD,15,2024-10-01,Failed,0,0
ENR-000094,STU-00995,CRS-0030,Business,PhD,30,2024-09-30,Completed,1,0
ENR-000095,STU-04259,CRS-0053,Medical School,Postgraduate,30,2022-09-25,Withdrawn,0,1
ENR-000096,STU-02824,CRS-0099,Education Dept,Postgraduate,30,2022-09-21,Enrolled,0,0
ENR-000097,STU-00217,CRS-0120,Social Sciences,PhD,30,2024-09-13,Completed,1,0
ENR-000098,STU-00406,CRS-0010,Computing,Postgraduate,30,2023-09-16,Enrolled,0,0
ENR-000099,STU-00334,CRS-0073,Arts,PhD,20,2025-09-20,Enrolled,0,0
ENR-000100,STU-04716,CRS-0007,Computing,Postgraduate,20,2024-09-08,Failed,0,0
ENR-000101,STU-00161,CRS-0095,Education Dept,Undergraduate,10,2024-10-01,Enrolled,0,0
ENR-000102,STU-02683,CRS-0081,Law School,Postgraduate,30,2024-09-20,Enrolled,0,0
ENR-000103,STU-00941,CRS-0030,Business,PhD,30,2023-09-19,Completed,1,0
ENR-000104,STU-02683,CRS-0077,Law School,Undergraduate,30,2024-09-11,Failed,0,0
ENR-000105,STU-03669,CRS-0071,Arts,PhD,15,2025-09-14,Withdrawn,0,1
ENR-000106,STU-00289,CRS-0040,Engineering,Postgraduate,20,2024-10-07,Completed,1,0
ENR-000107,STU-01654,CRS-0026,Business,PhD,30,2022-10-02,Completed,1,0
ENR-000108,STU-02510,CRS-0035,Engineering,Undergraduate,10,2023-10-06,Completed,1,0
ENR-000109,STU-00456,CRS-0099,Education Dept,Postgraduate,30,2023-09-25,Enrolled,0,0
ENR-000110,STU-04042,CRS-0066,Arts,Postgraduate,15,2025-09-09,Completed,1,0
ENR-000111,STU-02632,CRS-0017,Business,Undergraduate,15,2022-09-02,Enrolled,0,0
