student_id,programme,department,level,cohort_year,enrolment_date,status,gender,region,age_at_enrolment
STU-00001,Arts & Humanities,Arts,Postgraduate,2024,2024-09-05,Graduated,Non-binary,London,41
STU-00002,Social Sciences,Social Sciences,PhD,2025,2025-09-13,Withdrawn,Non-binary,North West,20
STU-00003,Medicine,Medical School,PhD,2023,2023-09-11,Active,Female,North West,43
STU-00004,Computer Science,Computing,Postgraduate,2025,2025-09-10,Active,Prefer not to say,International,45
STU-00005,Engineering,Engineering,PhD,2025,2025-09-04,Graduated,Female,Midlands,35
STU-00006,Computer Science,Computing,PhD,2022,2022-09-07,Active,Non-binary,London,23
STU-00007,Arts & Humanities,Arts,Postgraduate,2024,2024-09-12,Active,Non-binary,Wales,39
STU-00008,Arts & Humanities,Arts,PhD,2022,2022-09-12,Active,Prefer not to say,North West,27
STU-00009,Computer Science,Computing,Undergraduate,2024,2024-09-02,Graduated,Non-binary,London,33
STU-00010,Business Administration,Business,Postgraduate,2023,2023-09-03,Active,Male,South East,20
STU-00011,Law,Law School,Postgraduate,2022,2022-09-07,Graduated,Male,Midlands,18
STU-00012,Education,Education Dept,Undergraduate,2023,2023-09-10,Active,Non-binary,Wales,19
STU-00013,Education,Education Dept,PhD,2023,2023-09-08,Active,Female,International,23
STU-00014,Business Administration,Business,PhD,2025,2025-09-07,Active,Female,International,27
STU-00015,Law,Law School,Postgraduate,2022,2022-09-01,Active,Female,Wales,18
STU-00016,Medicine,Medical School,PhD,2022,2022-09-09,Active,Prefer not to say,International,22
STU-00017,Education,Education Dept,PhD,2022,2022-09-06,Active,Prefer not to say,North West,35
STU-00018,Law,Law School,Postgraduate,2023,2023-09-05,Withdrawn,Male,London,34
STU-00019,Computer Science,Computing,PhD,2023,2023-09-06,Active,Female,Scotland,26
STU-00020,Business Administration,Business,Postgraduate,2024,2024-09-06,Active,Male,South East,21
STU-00021,Arts & Humanities,Arts,Undergraduate,2022,2022-09-04,Graduated,Female,London,30
STU-00022,Engineering,Engineering,PhD,2025,2025-09-13,Active,Male,North West,18
STU-00023,Business Administration,Business,PhD,2025,2025-09-11,Graduated,Non-binary,Midlands,22
STU-00024,Law,Law School,Undergraduate,2025,2025-09-15,Active,Prefer not to say,International,45
STU-00025,Law,Law School,Undergraduate,2024,2024-09-15,Active,Female,Scotland,23
STU-00026,Computer Science,Computing,Postgraduate,2022,2022-09-02,Active,Non-binary,South East,21
STU-00027,Engineering,Engineering,Postgraduate,2022,2022-09-05,Graduated,Non-binary,Midlands,27
STU-00028,Computer Science,Computing,Undergraduate,2023,2023-09-12,Withdrawn,Female,Wales,43
STU-00029,Social Sciences,Social Sciences,Postgraduate,2023,2023-09-15,Active,Female,International,40
STU-00030,Computer Science,Computing,PhD,2023,2023-09-09,Active,Non-binary,Midlands,35
STU-00031,Social Sciences,Social Sciences,PhD,2025,2025-09-13,Active,Non-binary,Midlands,27
STU-00032,Education,Education Dept,Undergraduate,2023,2023-09-12,Active,Male,Wales,38
STU-00033,Engineering,Engineering,Undergraduate,2025,2025-09-09,Active,Non-binary,London,19
STU-00034,Social Sciences,Social Sciences,PhD,2022,2022-09-14,Active,Prefer not to say,South East,24
STU-00035,Arts & Humanities,Arts,Undergraduate,2022,2022-09-13,Withdrawn,Prefer not to say,North West,34
STU-00036,Engineering,Engineering,Postgraduate,2024,2024-09-09,Deferred,Prefer not to say,Wales,35
STU-00037,Business Administration,Business,Postgraduate,2022,2022-09-04,Active,Prefer not to say,Scotland,45
STU-00038,Education,Education Dept,Undergraduate,2023,2023-09-06,Active,Non-binary,Scotland,20
STU-00039,Medicine,Medical School,PhD,2024,2024-09-15,Active,Female,Wales,41
STU-00040,Arts & Humanities,Arts,PhD,2025,2025-09-15,Graduated,Male,London,30
STU-00041,Law,Law School,Postgraduate,2025,2025-09-01,Active,Male,London,44
STU-00042,Arts & Humanities,Arts,PhD,2025,2025-09-05,Active,Male,North West,37
STU-00043,Arts & Humanities,Arts,Undergraduate,2024,2024-09-14,Active,Non-binary,North West,45
STU-00044,Arts & Humanities,Arts,Postgraduate,2024,2024-09-14,Active,Female,Scotland,33
STU-00045,Arts & Humanities,Arts,PhD,2022,2022-09-08,Active,Non-binary,South East,20
STU-00046,Social Sciences,Social Sciences,PhD,2022,2022-09-01,Deferred,Non-binary,South East,38
STU-00047,Law,Law School,PhD,2025,2025-09-09,Active,Male,International,20
STU-00048,Arts & Humanities,Arts,PhD,2022,2022-09-04,Active,Male,North West,38
STU-00049,Computer Science,Computing,Undergraduate,2025,2025-09-12,Graduated,Non-binary,Midlands,19
STU-00050,Computer Science,Computing,PhD,2022,2022-09-07,Active,Female,North West,23
STU-00051,Medicine,Medical School,Postgraduate,2022,2022-09-14,Active,Non-binary,North West,19
STU-00052,Social Sciences,Social Sciences,Undergraduate,2023,2023-09-09,Graduated,Female,North West,33
STU-00053,Engineering,Engineering,Postgraduate,2025,2025-09-10,Active,Non-binary,London,30
STU-00054,Medicine,Medical School,Postgraduate,2022,2022-09-09,Active,Male,Scotland,26
STU-00055,Engineering,Engineering,Postgraduate,2023,2023-09-12,Graduated,Male,North West,34
STU-00056,Arts & Humanities,Arts,PhD,2022,2022-09-09,Active,Prefer not to say,London,41
STU-00057,Computer Science,Computing,Postgraduate,2022,2022-09-04,Active,Prefer not to say,North West,41
STU-00058,Engineering,Engineering,Postgraduate,2022,2022-09-09,Graduated,Non-binary,London,29
STU-00059,Law,Law School,PhD,2024,2024-09-12,Graduated,Non-binary,Scotland,33
STU-00060,Engineering,Engineering,PhD,2022,2022-09-03,Active,Prefer not to say,Midlands,45
STU-00061,Education,Education Dept,Undergraduate,2022,2022-09-09,Graduated,Female,Wales,24
STU-00062,Engineering,Engineering,Postgraduate,2022,2022-09-09,Graduated,Non-binary,Midlands,31
STU-00063,Medicine,Medical School,PhD,2024,2024-09-10,Active,Male,Midlands,41
STU-00064,Social Sciences,Social Sciences,Undergraduate,2025,2025-09-10,Active,Prefer not to say,South East,33
STU-00065,Arts & Humanities,Arts,Postgraduate,2024,2024-09-01,Active,Prefer not to say,Scotland,19
STU-00066,Arts & Humanities,Arts,Postgraduate,2024,2024-09-12,Active,Male,Midlands,33
STU-00067,Business Administration,Business,Postgraduate,2022,2022-09-08,Active,Female,Scotland,35
STU-00068,Medicine,Medical School,Undergraduate,2025,2025-09-05,Graduated,Prefer not to say,London,27
STU-00069,Computer Science,Computing,PhD,2025,2025-09-12,Withdrawn,Male,North West,41
STU-00070,Computer Science,Computing,Undergraduate,2023,2023-09-03,Graduated,Prefer not to say,South East,23
STU-00071,Social Sciences,Social Sciences,Undergraduate,2022,2022-09-10,Graduated,Male,Scotland,28
STU-00072,Engineering,Engineering,Postgraduate,2023,2023-09-04,Active,Male,International,26
STU-00073,Business Administration,Business,PhD,2023,2023-09-05,Graduated,Male,North West,32
STU-00074,Social Sciences,Social Sciences,Postgraduate,2023,2023-09-10,Active,Female,Wales,37
STU-00075,Education,Education Dept,Postgraduate,2024,2024-09-06,Active,Male,North West,28
STU-00076,Engineering,Engineering,Undergraduate,2025,2025-09-02,Active,Prefer not to say,Wales,30
STU-00077,Computer Science,Computing,Undergraduate,2024,2024-09-15,Graduated,Prefer not to say,London,36
STU-00078,Medicine,Medical School,Postgraduate,2025,2025-09-01,Active,Male,Midlands,44
STU-00079,Social Sciences,Social Sciences,Undergraduate,2025,2025-09-08,Active,Male,International,18
STU-00080,Social Sciences,Social Sciences,Postgraduate,2024,2024-09-10,Withdrawn,Non-binary,London,39
STU-00081,Education,Education Dept,Postgraduate,2025,2025-09-12,Graduated,Female,North West,44
STU-00082,Arts & Humanities,Arts,Undergraduate,2022,2022-09-09,Active,Male,South East,42
STU-00083,Computer Science,Computing,PhD,2023,2023-09-03,Active,Female,Wales,26
STU-00084,Social Sciences,Social Sciences,Undergraduate,2022,2022-09-13,Graduated,Male,South East,36
STU-00085,Social Sciences,Social Sciences,Undergraduate,2025,2025-09-15,Withdrawn,Non-binary,London,19
STU-00086,Law,Law School,PhD,2022,2022-09-03,Active,Male,Wales,27
STU-00087,Medicine,Medical School,Undergraduate,2023,2023-09-08,Active,Female,London,22
STU-00088,Engineering,Engineering,PhD,2022,2022-09-01,Active,Female,Midlands,27
STU-00089,Arts & Humanities,Arts,PhD,2023,2023-09-15,Active,Female,Midlands,18
STU-00090,Engineering,Engineering,Postgraduate,2025,2025-09-14,Active,Female,Wales,35
STU-00091,Business Administration,Business,Undergraduate,2025,2025-09-06,Graduated,Prefer not to say,London,44
STU-00092,Social Sciences,Social Sciences,Undergraduate,2025,2025-09-06,Graduated,Female,International,31
STU-00093,Education,Education Dept,PhD,2025,2025-09-04,Active,Non-binary,Midlands,33
STU-00094,Engineering,Engineering,Postgraduate,2022,2022-09-05,Withdrawn,Female,South East,40
STU-00095,Social Sciences,Social Sciences,PhD,2024,2024-09-12,Active,Female,International,35
STU-00096,Computer Science,Computing,Undergraduate,2023,2023-09-15,Active,Female,Scotland,20
STU-00097,Law,Law School,Postgraduate,2025,2025-09-03,Active,Male,North West,38
STU-00098,Education,Education Dept,PhD,2024,2024-09-05,Graduated,Male,Scotland,21
STU-00099,Arts & Humanities,Arts,Postgraduate,2024,2024-09-04,Active,Female,North West,37
STU-00100,Engineering,Engineering,Undergraduate,2023,2023-09-14,Active,Female,Scotland,26
STU-00101,Medicine,Medical School,Undergraduate,2024,2024-09-11,Active,Non-binary,International,26
STU-00102,Computer Science,Computing,Postgraduate,2023,2023-09-01,Active,Prefer not to say,International,19
STU-00103,Engineering,Engineering,Postgraduate,2025,2025-09-05,Active,Prefer not to say,Wales,44
STU-00104,Education,Education Dept,Postgraduate,2024,2024-09-01,Active,Female,South East,24
STU-00105,Social Sciences,Social Sciences,PhD,2023,2023-09-12,Graduated,Female,International,26
STU-00106,Law,Law School,Postgraduate,2025,2025-09-08,Active,Female,Wales,18
STU-00107,Social Sciences,Social Sciences,PhD,2022,2022-09-10,Graduated,Prefer not to say,Wales,42
STU-00108,Law,Law School,Undergraduate,2024,2024-09-04,Active,Non-binary,North West,36
STU-00109,Business Administration,Business,PhD,2022,2022-09-06,Active,Male,International,31
STU-00110,Social Sciences,Social Sciences,Postgraduate,2022,2022-09-05,Graduated,Prefer not to say,Wales,18
STU-00111,Law,Law School,Undergraduate,2022,2022-09-08,Active,Non-binary,International,35
STU-00112,Business Administration,Business,Undergraduate,2025,2025-09-04,Active,Male,London,18
STU-00113,Law,Law School,PhD,2023,2023-09-15,Graduated,Female,International,18
STU-00114,Education,Education Dept,Postgraduate,2024,2024-09-13,Active,Prefer not to say,International,33
STU-00115,Engineering,Engineering,Undergraduate,2022,2022-09-07,Active,Prefer not to say,International,44
