event_id,timestamp,substation_id,region,event_type,severity,duration_sec,affected_customers,resolved
EVT-002002,2025-03-22T11:49:07Z,SUB-010,Central,restoration,low,171,322,true
EVT-002097,2025-03-06T19:53:15Z,SUB-011,North,restoration,low,160,116,true
EVT-000176,2025-03-14T13:47:27Z,SUB-002,South,voltage_sag,critical,1833,5084,false
EVT-000177,2025-03-14T07:22:07Z,SUB-002,South,restoration,low,385,629,true
EVT-000168,2025-03-13T17:08:11Z,SUB-014,West,restoration,low,306,456,true
EVT-002161,2025-03-10T19:03:34Z,SUB-024,West,restoration,low,281,185,true
EVT-001492,2025-03-17T14:25:57Z,SUB-002,South,restoration,low,234,199,true
EVT-000082,2025-03-08T11:55:07Z,SUB-007,South,surge,medium,1122,20,false
EVT-001999,2025-04-07T15:02:36Z,SUB-012,South,restoration,low,123,588,true
EVT-001610,2025-03-21T17:07:56Z,SUB-024,West,restoration,low,323,553,true
EVT-000160,2025-03-13T11:13:00Z,SUB-003,East,voltage_sag,high,2076,2665,false
EVT-002060,2025-04-07T10:45:45Z,SUB-014,West,restoration,low,383,421,true
EVT-001285,2025-04-19T03:12:28Z,SUB-010,Central,restoration,low,287,303,true
EVT-001646,2025-04-12T07:10:46Z,SUB-018,East,restoration,low,364,643,true
EVT-001791,2025-03-14T00:47:43Z,SUB-004,West,restoration,low,248,344,true
EVT-002124,2025-04-23T08:07:38Z,SUB-008,East,restoration,low,169,732,true
EVT-002077,2025-03-22T03:36:34Z,SUB-022,South,restoration,low,135,167,true
EVT-000170,2025-03-13T23:52:56Z,SUB-015,Central,restoration,low,212,588,true
EVT-001362,2025-03-23T12:24:20Z,SUB-017,South,restoration,low,91,285,true
EVT-001006,2025-04-23T23:32:24Z,SUB-022,South,voltage_sag,critical,1624,3742,false
EVT-001371,2025-04-26T07:08:33Z,SUB-021,North,restoration,low,153,717,true
EVT-000932,2025-04-21T14:58:29Z,SUB-008,East,voltage_sag,high,1732,2117,false
EVT-001313,2025-03-19T18:55:52Z,SUB-003,East,restoration,low,231,603,true
EVT-001442,2025-03-04T17:32:34Z,SUB-022,South,restoration,low,289,212,true
EVT-000119,2025-03-11T03:26:37Z,SUB-004,West,voltage_sag,high,1681,3423,false
EVT-001327,2025-04-09T17:26:06Z,SUB-005,Central,restoration,low,289,733,true
EVT-001330,2025-03-26T21:22:51Z,SUB-021,North,restoration,low,161,674,true
EVT-000022,2025-03-03T23:56:08Z,SUB-024,West,restoration,low,114,1423,true
EVT-000354,2025-03-25T02:48:26Z,SUB-015,Central,restoration,low,185,1401,true
EVT-002011,2025-03-03T03:41:47Z,SUB-015,Central,restoration,low,310,103,true
EVT-000274,2025-03-20T09:05:41Z,SUB-024,West,surge,high,1590,2399,false
EVT-001970,2025-04-22T11:59:00Z,SUB-002,South,restoration,low,292,28,true
EVT-001443,2025-03-15T17:28:54Z,SUB-008,East,restoration,low,307,10,true
EVT-000728,2025-04-11T08:19:19Z,SUB-021,North,voltage_sag,high,1942,2145,false
EVT-002018,2025-04-10T18:39:44Z,SUB-016,North,restoration,low,251,688,true
EVT-002092,2025-04-03T16:11:32Z,SUB-023,East,restoration,low,100,364,true
EVT-001574,2025-03-06T00:06:31Z,SUB-002,South,restoration,low,106,27,true
EVT-000059,2025-03-06T06:53:59Z,SUB-004,West,voltage_sag,critical,1750,3014,false
EVT-000612,2025-04-07T12:35:21Z,SUB-025,Central,restoration,low,365,1461,true
EVT-000783,2025-04-14T13:30:53Z,SUB-019,West,voltage_sag,critical,1792,2920,false
EVT-001135,2025-04-28T19:41:17Z,SUB-012,South,restoration,low,548,247,true
EVT-001511,2025-04-13T14:55:05Z,SUB-018,East,restoration,low,395,171,true
EVT-001125,2025-04-28T09:46:11Z,SUB-004,West,voltage_sag,critical,1522,2569,false
EVT-000108,2025-03-10T07:10:26Z,SUB-019,West,voltage_sag,medium,1321,1699,false
EVT-001260,2025-03-27T03:15:39Z,SUB-019,West,restoration,low,265,714,true
EVT-002172,2025-03-05T05:25:27Z,SUB-024,West,restoration,low,385,487,true
EVT-000923,2025-04-21T21:39:13Z,SUB-003,East,voltage_sag,high,1388,3704,false
EVT-001340,2025-04-18T02:25:16Z,SUB-021,North,restoration,low,154,483,true
EVT-002205,2025-03-03T05:29:05Z,SUB-023,East,restoration,low,335,370,true
EVT-000153,2025-03-12T20:52:09Z,SUB-021,North,surge,medium,1173,2529,false
EVT-002154,2025-04-13T21:38:19Z,SUB-010,Central,restoration,low,231,187,true
EVT-000105,2025-03-10T22:27:19Z,SUB-017,South,voltage_sag,medium,1063,2184,false
EVT-001768,2025-03-14T12:51:57Z,SUB-009,West,restoration,low,87,197,true
EVT-000378,2025-03-26T11:48:43Z,SUB-020,Central,restoration,low,286,1027,true
EVT-000969,2025-04-22T23:16:45Z,SUB-017,South,voltage_sag,critical,1631,3910,false
EVT-001885,2025-04-05T14:13:11Z,SUB-003,East,restoration,low,298,540,true
EVT-002170,2025-04-08T21:33:56Z,SUB-011,North,restoration,low,104,410,true
EVT-001518,2025-03-16T02:25:53Z,SUB-001,North,restoration,low,118,356,true
EVT-001046,2025-04-24T16:35:49Z,SUB-025,Central,voltage_sag,critical,2218,4585,false
EVT-001382,2025-03-10T22:26:08Z,SUB-015,Central,restoration,low,297,479,true
EVT-002151,2025-03-19T00:07:52Z,SUB-015,Central,restoration,low,110,757,true
EVT-000654,2025-04-09T17:28:14Z,SUB-011,North,surge,high,1485,2132,false
EVT-001701,2025-04-19T07:19:23Z,SUB-018,East,restoration,low,286,349,true
EVT-001054,2025-04-25T17:55:04Z,SUB-010,Central,restoration,low,143,72,true
EVT-000383,2025-03-26T11:02:06Z,SUB-025,Central,voltage_sag,high,2335,2433,false
EVT-001764,2025-03-14T01:40:12Z,SUB-005,Central,restoration,low,277,160,true
EVT-000604,2025-04-07T16:26:57Z,SUB-017,South,restoration,low,293,1317,true
EVT-000057,2025-03-05T08:28:59Z,SUB-025,Central,surge,high,1349,1285,false
