reading_id,timestamp,plant_id,plant_type,generation_mw,capacity_mw,capacity_factor,weather
RG-000001,2025-03-02T00:00:00Z,SOLAR-03,solar,0,48.7,0.0,overcast
RG-000002,2025-04-22T01:00:00Z,WIND-04,wind,14.2,45.5,0.312,stormy
RG-000003,2025-04-28T23:30:00Z,SOLAR-02,solar,0,37.3,0.0,clear
RG-000004,2025-04-09T09:30:00Z,HYDRO-02,hydro,98.14,151.9,0.646,windy
RG-000005,2025-04-02T21:45:00Z,SOLAR-08,solar,0,46.8,0.0,windy
RG-000006,2025-03-20T23:00:00Z,SOLAR-04,solar,0,76.6,0.0,overcast
RG-000007,2025-04-11T23:00:00Z,WIND-05,wind,58.5,102.7,0.57,cloudy
RG-000008,2025-03-24T13:00:00Z,SOLAR-04,solar,19.61,76.6,0.256,overcast
RG-000009,2025-03-15T23:30:00Z,SOLAR-02,solar,0,37.3,0.0,stormy
RG-000010,2025-04-17T10:45:00Z,WIND-01,wind,30.6,39.8,0.769,stormy
RG-000011,2025-03-06T16:30:00Z,SOLAR-05,solar,8.15,50.3,0.162,overcast
RG-000012,2025-03-23T07:45:00Z,WIND-01,wind,5.85,39.8,0.147,overcast
RG-000013,2025-04-17T06:30:00Z,HYDRO-03,hydro,121.67,169.9,0.716,overcast
RG-000014,2025-04-24T14:30:00Z,WIND-03,wind,14.96,40.8,0.367,clear
RG-000015,2025-04-15T09:00:00Z,SOLAR-01,solar,39.6,69.3,0.571,windy
RG-000016,2025-03-02T03:45:00Z,WIND-04,wind,19.66,45.5,0.432,cloudy
RG-000017,2025-03-10T04:15:00Z,SOLAR-06,solar,0,59.6,0.0,windy
RG-000018,2025-04-19T01:45:00Z,WIND-04,wind,33.9,45.5,0.745,stormy
RG-000019,2025-03-23T09:45:00Z,SOLAR-08,solar,27.59,46.8,0.59,clear
RG-000020,2025-04-24T22:45:00Z,SOLAR-05,solar,0,50.3,0.0,clear
RG-000021,2025-03-29T13:00:00Z,HYDRO-03,hydro,139.81,169.9,0.823,stormy
RG-000022,2025-03-17T10:15:00Z,HYDRO-02,hydro,117.76,151.9,0.775,cloudy
RG-000023,2025-04-17T17:30:00Z,SOLAR-06,solar,18.63,59.6,0.313,windy
RG-000024,2025-04-02T20:30:00Z,WIND-02,wind,50.63,112.7,0.449,cloudy
RG-000025,2025-04-11T07:45:00Z,SOLAR-07,solar,12.34,33.3,0.371,clear
RG-000026,2025-04-13T04:15:00Z,HYDRO-03,hydro,124.19,169.9,0.731,cloudy
RG-000027,2025-03-30T05:00:00Z,SOLAR-03,solar,1.79,48.7,0.037,overcast
RG-000028,2025-03-17T08:15:00Z,HYDRO-01,hydro,52.81,59.3,0.891,cloudy
RG-000029,2025-03-10T01:30:00Z,WIND-03,wind,20.1,40.8,0.493,cloudy
RG-000030,2025-04-04T17:30:00Z,HYDRO-03,hydro,111.5,169.9,0.656,stormy
RG-000031,2025-03-10T17:45:00Z,HYDRO-03,hydro,75.55,169.9,0.445,cloudy
RG-000032,2025-03-21T15:30:00Z,HYDRO-02,hydro,107.6,151.9,0.708,overcast
RG-000033,2025-04-07T12:15:00Z,WIND-05,wind,47.94,102.7,0.467,cloudy
RG-000034,2025-03-03T07:45:00Z,SOLAR-01,solar,25.42,69.3,0.367,windy
RG-000035,2025-04-04T08:00:00Z,SOLAR-06,solar,9.05,59.6,0.152,rainy
RG-000036,2025-04-18T08:00:00Z,WIND-05,wind,44.95,102.7,0.438,overcast
RG-000037,2025-04-10T23:30:00Z,WIND-05,wind,39.47,102.7,0.384,windy
RG-000038,2025-03-09T04:15:00Z,WIND-01,wind,21.83,39.8,0.548,rainy
RG-000039,2025-03-02T23:15:00Z,SOLAR-05,solar,0,50.3,0.0,stormy
RG-000040,2025-04-06T19:15:00Z,WIND-04,wind,16.63,45.5,0.365,cloudy
RG-000041,2025-04-03T16:15:00Z,HYDRO-01,hydro,38.36,59.3,0.647,overcast
RG-000042,2025-03-04T12:00:00Z,HYDRO-03,hydro,83.64,169.9,0.492,cloudy
RG-000043,2025-04-11T14:15:00Z,SOLAR-03,solar,10.86,48.7,0.223,rainy
