account_id,customer_id,account_type,balance,credit_limit,credit_utilisation_pct,open_date,status
A-000001,C-01898,Savings,23541.27,5000,50.78,2023-12-29,Active
A-000002,C-01241,Business Current,37898.29,0,0.0,2021-10-30,Active
A-000003,C-00423,Mortgage,24795.56,5000,39.03,2021-10-04,Active
A-000004,C-01371,Savings,13167.16,0,0.0,2023-05-24,Active
A-000005,C-01356,Savings,41174.07,10000,29.47,2009-03-23,Active
A-000006,C-01622,Mortgage,36552.33,10000,99.32,2013-03-12,Active
A-000007,C-00860,Credit Card,29682.66,0,0.0,2007-08-02,Dormant
A-000008,C-01503,Mortgage,10899.3,25000,34.43,2016-04-03,Active
A-000009,C-01511,Credit Card,35343.3,5000,8.33,2012-03-23,Active
A-000010,C-00460,Business Current,28949.67,2000,42.52,2018-12-18,Active
A-000011,C-00890,Mortgage,39157.08,2000,71.55,2011-12-11,Active
A-000012,C-00252,Savings,5114.63,10000,49.28,2018-05-11,Active
A-000013,C-01847,Savings,29355.24,2000,4.02,2009-06-16,Active
A-000014,C-00266,Mortgage,24894.4,2000,32.68,2019-01-25,Active
A-000015,C-01325,Savings,41819.49,10000,35.95,2017-04-09,Active
A-000016,C-00906,Current,41623.31,10000,36.41,2011-07-17,Active
A-000017,C-00447,Current,17421.44,0,0.0,2009-01-06,Active
A-000018,C-00855,Credit Card,42343.57,5000,25.89,2013-11-26,Active
A-000019,C-01364,Mortgage,26296.11,10000,95.36,2013-04-13,Active
A-000020,C-00464,Mortgage,34560.88,10000,45.99,2008-06-27,Active
A-000021,C-01726,Current,38477.37,10000,0.37,2020-02-23,Dormant
A-000022,C-00395,Mortgage,4233.53,25000,33.39,2018-11-24,Active
A-000023,C-01259,Credit Card,23817.37,5000,0.05,2012-02-25,Active
A-000024,C-00779,Credit Card,23512.34,25000,84.84,2014-09-04,Active
A-000025,C-00572,Current,41777.66,25000,63.19,2005-09-20,Active
A-000026,C-00805,Credit Card,43459.57,10000,32.26,2017-09-05,Active
A-000027,C-00921,Current,3228.63,25000,78.54,2007-02-06,Active
A-000028,C-00527,Credit Card,37475.03,10000,75.22,2007-08-07,Active
A-000029,C-00225,Credit Card,27429.5,10000,90.42,2024-01-11,Dormant
A-000030,C-01035,Savings,2869.01,5000,23.81,2009-09-26,Dormant
A-000031,C-01555,Credit Card,6670.14,10000,4.02,2023-08-22,Active
A-000032,C-01354,Mortgage,8535.59,5000,85.24,2023-11-03,Active
A-000033,C-00837,Current,39758.3,0,0.0,2023-09-14,Active
A-000034,C-00063,Credit Card,4855.85,0,0.0,2013-11-22,Active
