review_id,booking_id,property_id,guest_id,review_date,overall_score,cleanliness_score,service_score,value_score,food_score,sentiment,platform
REV-000001,BK-0048451,PROP-032,GST-02080,2025-04-15,7,7,6,7,6,Neutral,Google
REV-000002,BK-0014555,PROP-004,GST-04212,2025-03-25,7,9,8,7,8,Neutral,Google
REV-000003,BK-0018172,PROP-007,GST-03142,2025-01-15,7,9,9,5,8,Neutral,Google
REV-000004,BK-0027376,PROP-003,GST-04326,2025-03-31,10,9,10,10,10,Positive,Direct
REV-000005,BK-0004359,PROP-022,GST-01977,2025-04-30,10,10,9,10,9,Positive,Direct
REV-000006,BK-0024392,PROP-001,GST-02638,2025-02-03,8,9,7,8,6,Positive,Direct
REV-000007,BK-0032400,PROP-009,GST-01829,2025-04-25,10,10,9,10,9,Positive,Booking.com
REV-000008,BK-0018426,PROP-042,GST-02970,2025-03-15,9,7,10,9,8,Positive,Direct
REV-000009,BK-0027138,PROP-017,GST-03951,2025-03-29,6,5,5,5,6,Neutral,Google
REV-000010,BK-0048738,PROP-035,GST-02264,2025-03-15,5,5,6,4,5,Negative,Booking.com
REV-000011,BK-0003589,PROP-015,GST-03592,2025-03-14,7,8,7,7,6,Neutral,TripAdvisor
REV-000012,BK-0046369,PROP-048,GST-00257,2025-02-16,10,10,10,10,9,Positive,TripAdvisor
REV-000013,BK-0027361,PROP-018,GST-00941,2025-05-03,8,7,6,8,7,Positive,TripAdvisor
REV-000014,BK-0039584,PROP-009,GST-00286,2025-03-22,6,7,7,7,6,Neutral,Direct
REV-000015,BK-0039752,PROP-016,GST-04256,2025-04-29,7,6,6,8,6,Neutral,Booking.com
REV-000016,BK-0040784,PROP-040,GST-04679,2025-03-02,10,9,8,10,9,Positive,Google
REV-000017,BK-0048025,PROP-033,GST-01358,2025-04-15,5,4,5,7,5,Negative,Direct
REV-000018,BK-0047435,PROP-050,GST-03626,2025-05-01,10,9,10,9,9,Positive,TripAdvisor
REV-000019,BK-0047466,PROP-046,GST-00205,2025-02-20,10,10,10,9,9,Positive,TripAdvisor
REV-000020,BK-0045816,PROP-020,GST-01877,2025-03-06,10,10,9,10,9,Positive,TripAdvisor
REV-000021,BK-0008242,PROP-001,GST-03427,2025-02-19,10,10,10,10,8,Positive,TripAdvisor
REV-000022,BK-0023956,PROP-015,GST-02099,2025-05-01,10,8,10,10,10,Positive,Direct
REV-000023,BK-0045021,PROP-048,GST-04259,2025-04-11,8,7,9,9,10,Positive,TripAdvisor
REV-000024,BK-0038303,PROP-022,GST-02376,2025-01-27,10,10,9,10,10,Positive,Booking.com
REV-000025,BK-0011761,PROP-002,GST-01704,2025-03-01,7,8,8,7,7,Neutral,Direct
REV-000026,BK-0029237,PROP-021,GST-04797,2025-02-25,8,8,10,9,9,Positive,Direct
REV-000027,BK-0030669,PROP-021,GST-02184,2025-01-30,9,9,8,10,8,Positive,TripAdvisor
REV-000028,BK-0005008,PROP-041,GST-00308,2025-01-17,6,8,6,6,6,Neutral,Direct
REV-000029,BK-0013292,PROP-025,GST-04525,2025-03-24,4,4,4,4,4,Negative,Direct
REV-000030,BK-0042410,PROP-019,GST-03388,2025-04-18,8,9,9,8,8,Positive,Direct
