batch_id,production_line,product,batch_start,batch_end,planned_units,units_produced,defect_count,downtime_minutes,machine_id,failure_event
B-03978,Line-B,Gear-X,2025-03-17 08:00:00,2025-03-17 16:00:00,270,208,21,143.1,MCH-0001,1
B-03213,Line-A,Rotor-M,2025-03-08 08:00:00,2025-03-08 16:00:00,318,309,7,16.8,MCH-0025,0
B-02483,Line-A,Widget-A,2025-02-28 00:00:00,2025-02-28 08:00:00,380,329,28,95.6,MCH-0015,1
B-02181,Line-E,Widget-A,2025-02-24 00:00:00,2025-02-24 08:00:00,327,297,11,40.4,MCH-0049,0
B-03937,Line-D,Rotor-M,2025-03-16 00:00:00,2025-03-16 08:00:00,301,279,7,29.9,MCH-0028,0
B-03627,Line-E,Widget-A,2025-03-13 16:00:00,2025-03-14 00:00:00,324,299,15,50.5,MCH-0009,0
B-03688,Line-A,Valve-Q,2025-03-13 08:00:00,2025-03-13 16:00:00,312,304,12,17.9,MCH-0040,0
B-01458,Line-A,Valve-Q,2025-02-16 00:00:00,2025-02-16 08:00:00,353,332,12,36.9,MCH-0035,0
B-01329,Line-D,Gear-X,2025-02-15 16:00:00,2025-02-16 00:00:00,226,219,5,5.5,MCH-0013,0
B-03668,Line-B,Bracket-Z,2025-03-13 08:00:00,2025-03-13 16:00:00,295,287,8,3.4,MCH-0031,0
B-00120,Line-A,Rotor-M,2025-02-02 16:00:00,2025-02-03 00:00:00,334,317,6,7.4,MCH-0015,0
B-03633,Line-D,Rotor-M,2025-03-13 00:00:00,2025-03-13 08:00:00,285,271,7,29.8,MCH-0013,0
B-02126,Line-D,Gear-X,2025-02-24 16:00:00,2025-02-25 00:00:00,336,328,8,19.0,MCH-0018,0
B-02548,Line-A,Gear-X,2025-03-01 00:00:00,2025-03-01 08:00:00,291,274,7,32.9,MCH-0005,0
B-03834,Line-E,Valve-Q,2025-03-15 00:00:00,2025-03-15 08:00:00,265,246,12,47.9,MCH-0019,0
B-02341,Line-D,Widget-A,2025-02-26 16:00:00,2025-02-27 00:00:00,344,336,10,16.3,MCH-0038,0
B-00862,Line-A,Widget-A,2025-02-10 00:00:00,2025-02-10 08:00:00,229,214,4,15.8,MCH-0015,0
B-01578,Line-B,Valve-Q,2025-02-18 08:00:00,2025-02-18 16:00:00,298,216,21,188.1,MCH-0001,1
B-03941,Line-C,Gear-X,2025-03-16 00:00:00,2025-03-16 08:00:00,286,273,8,33.9,MCH-0032,0
B-02714,Line-A,Valve-Q,2025-03-02 00:00:00,2025-03-02 08:00:00,390,375,10,23.3,MCH-0050,0
B-02153,Line-E,Valve-Q,2025-02-24 08:00:00,2025-02-24 16:00:00,295,222,16,175.4,MCH-0034,1
B-01986,Line-E,Widget-A,2025-02-22 00:00:00,2025-02-22 08:00:00,348,331,6,11.2,MCH-0039,0
B-02174,Line-A,Widget-A,2025-02-24 00:00:00,2025-02-24 08:00:00,294,271,12,24.5,MCH-0045,0
B-03374,Line-C,Widget-A,2025-03-10 08:00:00,2025-03-10 16:00:00,363,353,8,0.0,MCH-0017,0
B-03576,Line-C,Gear-X,2025-03-12 16:00:00,2025-03-13 00:00:00,354,351,12,7.5,MCH-0027,0
B-00226,Line-E,Bracket-Z,2025-02-03 16:00:00,2025-02-04 00:00:00,326,248,24,169.0,MCH-0024,1
B-02409,Line-A,Bracket-Z,2025-02-27 08:00:00,2025-02-27 16:00:00,288,274,7,29.4,MCH-0025,0
B-02339,Line-C,Widget-A,2025-02-26 08:00:00,2025-02-26 16:00:00,292,277,8,11.1,MCH-0037,0
B-02367,Line-D,Bracket-Z,2025-02-27 16:00:00,2025-02-28 00:00:00,346,333,11,25.0,MCH-0003,0
B-01441,Line-C,Valve-Q,2025-02-16 16:00:00,2025-02-17 00:00:00,278,262,9,7.1,MCH-0027,0
B-02116,Line-C,Bracket-Z,2025-02-24 00:00:00,2025-02-24 08:00:00,327,310,12,12.1,MCH-0012,0
