reading_id,machine_id,production_line,reading_timestamp,temperature,pressure,vibration,humidity
R-000001,MCH-0021,Line-B,2025-03-04 00:07:00,97.24,132.3,3.837,39.0
R-000002,MCH-0004,Line-A,2025-01-31 18:05:00,86.89,161.83,4.727,50.7
R-000003,MCH-0050,Line-A,2025-01-17 04:42:00,60.02,153.91,3.347,61.2
R-000004,MCH-0028,Line-C,2025-01-28 17:48:00,73.99,136.7,2.512,69.2
R-000005,MCH-0042,Line-A,2025-02-17 14:57:00,68.94,148.88,3.615,52.2
R-000006,MCH-0038,Line-B,2025-03-12 07:37:00,75.86,157.54,3.108,40.8
R-000007,MCH-0003,Line-A,2025-02-12 02:32:00,76.34,179.66,3.595,49.2
R-000008,MCH-0037,Line-A,2025-03-15 15:15:00,79.7,114.55,3.632,48.4
R-000009,MCH-0028,Line-C,2025-02-15 13:26:00,56.02,156.65,2.433,24.6
R-000010,MCH-0007,Line-D,2025-01-08 12:46:00,62.3,183.68,3.504,50.2
R-000011,MCH-0029,Line-A,2025-01-18 13:11:00,73.38,164.92,4.267,41.0
R-000012,MCH-0036,Line-B,2025-01-13 01:41:00,97.82,149.83,5.293,41.5
R-000013,MCH-0016,Line-C,2025-01-22 13:31:00,51.17,154.67,3.892,42.2
R-000014,MCH-0001,Line-A,2025-02-19 08:59:00,77.81,128.47,1.721,54.3
R-000015,MCH-0036,Line-B,2025-03-26 22:31:00,80.67,163.87,4.532,42.9
R-000016,MCH-0035,Line-D,2025-01-08 23:20:00,89.88,159.31,1.934,44.7
R-000017,MCH-0011,Line-A,2025-01-08 16:05:00,77.69,143.94,4.949,51.6
R-000018,MCH-0026,Line-B,2025-01-16 18:15:00,71.99,147.29,4.519,50.8
R-000019,MCH-0037,Line-A,2025-03-08 10:59:00,73.79,179.7,3.253,50.8
R-000020,MCH-0009,Line-D,2025-03-27 20:19:00,48.39,162.22,3.601,44.6
R-000021,MCH-0040,Line-D,2025-03-14 03:04:00,61.15,144.44,3.999,50.5
R-000022,MCH-0005,Line-B,2025-02-01 11:18:00,87.45,181.7,3.183,34.5
R-000023,MCH-0042,Line-A,2025-03-09 00:42:00,79.14,134.61,2.521,28.8
R-000024,MCH-0009,Line-D,2025-02-03 03:56:00,86.92,165.82,3.347,55.8
R-000025,MCH-0046,Line-C,2025-02-13 06:43:00,68.75,138.3,1.767,46.3
R-000026,MCH-0004,Line-A,2025-01-12 20:27:00,76.72,144.73,3.288,48.7
R-000027,MCH-0017,Line-A,2025-01-21 23:28:00,62.98,143.26,3.816,45.2
R-000028,MCH-0045,Line-B,2025-01-20 17:02:00,83.04,127.21,3.75,48.3
