subscriber_id,plan_type,region,age_group,payment_method,monthly_fee,signup_date,churn_date,is_churned
SUB-000001,Standard,Europe,18-24,Debit Card,13.99,2022-05-10,2023-10-06,1
SUB-000002,Basic,Middle East,45-54,Apple Pay,7.99,2022-10-07,,0
SUB-000003,Premium,Europe,18-24,Credit Card,19.99,2024-05-25,2025-07-23,1
SUB-000004,Basic,Middle East,35-44,Google Pay,7.99,2022-06-24,,0
SUB-000005,Premium,Middle East,45-54,Credit Card,19.99,2024-03-31,,0
SUB-000006,Standard,Europe,25-34,Credit Card,13.99,2023-12-23,,0
SUB-000007,Basic,North America,45-54,PayPal,7.99,2023-06-26,,0
SUB-000008,Basic,North America,18-24,Google Pay,7.99,2022-02-07,,0
SUB-000009,Premium,Middle East,18-24,Credit Card,19.99,2023-06-10,,0
SUB-000010,Standard,Asia Pacific,25-34,Debit Card,13.99,2022-02-25,,0
SUB-000011,Standard,Europe,35-44,Apple Pay,13.99,2024-10-28,,0
SUB-000012,Standard,Latin America,18-24,PayPal,13.99,2022-12-10,,0
SUB-000013,Standard,Middle East,45-54,Debit Card,13.99,2022-08-09,,0
SUB-000014,Standard,Middle East,35-44,Debit Card,13.99,2024-11-08,,0
SUB-000015,Standard,Middle East,25-34,Apple Pay,13.99,2023-09-13,2024-09-30,1
SUB-000016,Standard,North America,55+,Credit Card,13.99,2023-05-04,,0
SUB-000017,Basic,North America,45-54,Apple Pay,7.99,2023-06-19,,0
SUB-000018,Premium,Europe,35-44,Credit Card,19.99,2024-01-01,2024-12-21,1
SUB-000019,Standard,Asia Pacific,45-54,Debit Card,13.99,2023-09-01,2025-04-11,1
SUB-000020,Basic,Asia Pacific,25-34,PayPal,7.99,2022-08-21,,0
SUB-000021,Premium,Europe,35-44,Google Pay,19.99,2024-05-11,,0
SUB-000022,Premium,Asia Pacific,35-44,PayPal,19.99,2023-01-24,2024-02-23,1
SUB-000023,Standard,Asia Pacific,55+,Credit Card,13.99,2024-09-02,,0
SUB-000024,Premium,Middle East,35-44,PayPal,19.99,2023-01-03,,0
SUB-000025,Basic,Latin America,35-44,Credit Card,7.99,2022-06-01,,0
SUB-000026,Basic,Middle East,45-54,Apple Pay,7.99,2024-07-10,,0
SUB-000027,Basic,Asia Pacific,25-34,Credit Card,7.99,2023-04-30,,0
SUB-000028,Standard,Asia Pacific,18-24,PayPal,13.99,2024-11-22,,0
SUB-000029,Premium,Middle East,55+,PayPal,19.99,2022-09-25,2023-03-24,1
SUB-000030,Standard,Europe,45-54,Google Pay,13.99,2022-08-30,,0
SUB-000031,Basic,Europe,35-44,PayPal,7.99,2024-09-18,2025-09-10,1
SUB-000032,Basic,Middle East,55+,Apple Pay,7.99,2023-03-30,,0
SUB-000033,Standard,Asia Pacific,45-54,Apple Pay,13.99,2023-11-07,,0
SUB-000034,Premium,North America,45-54,Debit Card,19.99,2024-04-02,,0
SUB-000035,Basic,Europe,18-24,Google Pay,7.99,2022-02-02,,0
SUB-000036,Basic,Middle East,25-34,PayPal,7.99,2023-09-02,,0
SUB-000037,Premium,Europe,18-24,PayPal,19.99,2024-03-03,,0
SUB-000038,Premium,Asia Pacific,35-44,Credit Card,19.99,2022-11-01,,0
SUB-000039,Standard,North America,18-24,PayPal,13.99,2023-12-17,,0
SUB-000040,Standard,North America,18-24,Debit Card,13.99,2024-02-21,,0
SUB-000041,Standard,North America,25-34,Credit Card,13.99,2022-07-27,,0
SUB-000042,Premium,Latin America,45-54,Google Pay,19.99,2024-04-23,,0
SUB-000043,Standard,Europe,55+,Apple Pay,13.99,2022-03-18,,0
SUB-000044,Basic,Latin America,45-54,Apple Pay,7.99,2022-06-26,2022-09-18,1
SUB-000045,Standard,Latin America,35-44,Credit Card,13.99,2022-09-24,,0
SUB-000046,Standard,Asia Pacific,25-34,PayPal,13.99,2023-12-23,,0
SUB-000047,Premium,Latin America,18-24,Google Pay,19.99,2024-08-31,2026-06-24,1
SUB-000048,Basic,Middle East,35-44,Apple Pay,7.99,2024-02-09,,0
SUB-000049,Premium,Middle East,45-54,Debit Card,19.99,2024-01-07,,0
SUB-000050,Basic,Asia Pacific,55+,Apple Pay,7.99,2023-02-27,,0
SUB-000051,Basic,Europe,25-34,PayPal,7.99,2024-05-08,2026-03-15,1
SUB-000052,Standard,North America,35-44,Credit Card,13.99,2024-12-06,,0
SUB-000053,Standard,Middle East,45-54,PayPal,13.99,2023-12-11,,0
SUB-000054,Basic,Europe,18-24,Apple Pay,7.99,2022-12-14,,0
SUB-000055,Standard,Middle East,25-34,Google Pay,13.99,2024-08-21,2026-03-06,1
SUB-000056,Standard,North America,25-34,Google Pay,13.99,2024-05-15,,0
SUB-000057,Basic,Latin America,18-24,Google Pay,7.99,2024-08-12,,0
SUB-000058,Premium,North America,18-24,Debit Card,19.99,2022-05-30,2022-11-23,1
SUB-000059,Premium,Latin America,18-24,Debit Card,19.99,2022-10-22,2023-05-20,1
SUB-000060,Standard,Europe,18-24,Apple Pay,13.99,2022-05-01,,0
SUB-000061,Standard,Latin America,55+,Debit Card,13.99,2023-09-29,2024-12-29,1
SUB-000062,Premium,Middle East,18-24,Credit Card,19.99,2022-06-19,,0
SUB-000063,Basic,North America,55+,PayPal,7.99,2024-10-05,2026-06-05,1
SUB-000064,Premium,Europe,25-34,Debit Card,19.99,2023-07-07,2024-07-06,1
SUB-000065,Basic,Europe,45-54,Apple Pay,7.99,2022-05-27,,0
SUB-000066,Standard,Middle East,18-24,Apple Pay,13.99,2023-08-05,2025-02-22,1
SUB-000067,Standard,Latin America,18-24,Google Pay,13.99,2023-01-26,,0
SUB-000068,Premium,North America,45-54,Debit Card,19.99,2023-09-23,,0
SUB-000069,Premium,Middle East,35-44,Credit Card,19.99,2024-04-21,,0
SUB-000070,Standard,Middle East,45-54,Credit Card,13.99,2022-06-27,,0
SUB-000071,Premium,Latin America,35-44,Google Pay,19.99,2024-03-30,2024-09-03,1
SUB-000072,Standard,Asia Pacific,18-24,PayPal,13.99,2023-07-06,,0
SUB-000073,Premium,Asia Pacific,45-54,Google Pay,19.99,2024-05-14,,0
SUB-000074,Premium,Europe,55+,Google Pay,19.99,2022-02-12,,0
SUB-000075,Standard,Middle East,18-24,Debit Card,13.99,2022-09-01,,0
SUB-000076,Basic,North America,45-54,PayPal,7.99,2023-11-06,,0
SUB-000077,Standard,Asia Pacific,18-24,Google Pay,13.99,2024-03-01,2025-11-24,1
SUB-000078,Premium,Middle East,25-34,Google Pay,19.99,2022-09-02,2022-12-20,1
SUB-000079,Premium,Middle East,18-24,Credit Card,19.99,2024-08-06,,0
SUB-000080,Basic,Middle East,25-34,Debit Card,7.99,2023-03-12,2025-02-10,1
SUB-000081,Premium,Asia Pacific,45-54,Debit Card,19.99,2024-08-17,,0
SUB-000082,Premium,North America,55+,Debit Card,19.99,2022-05-05,,0
SUB-000083,Standard,Middle East,45-54,Google Pay,13.99,2022-10-17,,0
SUB-000084,Basic,Europe,35-44,PayPal,7.99,2022-04-30,,0
SUB-000085,Basic,Europe,25-34,Debit Card,7.99,2023-12-19,2024-04-13,1
SUB-000086,Standard,Middle East,18-24,PayPal,13.99,2023-04-03,,0
SUB-000087,Standard,Europe,25-34,Credit Card,13.99,2022-03-17,,0
SUB-000088,Standard,Middle East,18-24,Credit Card,13.99,2024-05-27,,0
SUB-000089,Premium,Asia Pacific,35-44,Credit Card,19.99,2022-11-20,,0
SUB-000090,Basic,North America,18-24,Debit Card,7.99,2023-05-22,2025-02-08,1
SUB-000091,Premium,North America,25-34,Credit Card,19.99,2023-07-24,,0
SUB-000092,Basic,Latin America,55+,Debit Card,7.99,2024-09-20,,0
SUB-000093,Standard,Europe,55+,PayPal,13.99,2024-08-17,,0
SUB-000094,Standard,North America,55+,Apple Pay,13.99,2022-06-09,2023-12-15,1
SUB-000095,Standard,Middle East,25-34,Credit Card,13.99,2023-12-17,,0
SUB-000096,Standard,Asia Pacific,35-44,Google Pay,13.99,2024-03-22,,0
SUB-000097,Standard,Europe,25-34,Debit Card,13.99,2023-10-13,,0
SUB-000098,Standard,Europe,25-34,Debit Card,13.99,2024-11-30,,0
SUB-000099,Premium,Asia Pacific,45-54,Apple Pay,19.99,2024-06-11,,0
SUB-000100,Standard,Asia Pacific,18-24,Credit Card,13.99,2024-09-27,,0
SUB-000101,Standard,North America,25-34,Apple Pay,13.99,2022-02-04,,0
SUB-000102,Standard,Middle East,25-34,Google Pay,13.99,2024-10-30,,0
