event_id,engagement_id,consultant_id,event_date,task_type,hours_logged,cost_gbp,budget_remaining_pct,is_overrun_alert
PE-000001,ENG-00087,CON-0005,2025-04-10 08:55:00,Delivery,7.0,875.0,35.4,False
PE-000002,ENG-00015,CON-0094,2025-06-11 10:34:00,Workshop,6.7,1675.0,29.6,False
PE-000003,ENG-00839,CON-0153,2025-02-26 09:04:00,Review,4.7,587.5,0.0,True
PE-000004,ENG-00999,CON-0122,2025-03-16 14:42:00,Stakeholder Meeting,9.3,930.0,69.1,False
PE-000005,ENG-00899,CON-0136,2025-06-14 17:43:00,Documentation,1.4,175.0,46.3,False
PE-000006,ENG-00328,CON-0092,2025-02-18 10:44:00,Delivery,6.1,915.0,31.8,False
PE-000007,ENG-00184,CON-0089,2025-02-21 08:20:00,Review,8.9,890.0,38.1,False
PE-000008,ENG-00592,CON-0073,2025-03-13 19:59:00,Travel,1.7,255.0,36.8,False
PE-000009,ENG-00983,CON-0187,2025-05-13 08:55:00,Review,0.7,70.0,55.5,False
PE-000010,ENG-00803,CON-0041,2025-06-01 18:41:00,Delivery,3.2,400.0,21.8,False
PE-000011,ENG-00095,CON-0025,2025-04-16 15:03:00,Delivery,8.8,1650.0,34.3,False
PE-000012,ENG-00522,CON-0098,2025-05-10 18:06:00,Analysis,9.2,1725.0,40.3,False
PE-000013,ENG-00712,CON-0124,2025-04-08 08:50:00,Workshop,5.0,625.0,12.0,False
PE-000014,ENG-00165,CON-0064,2025-06-04 14:52:00,Travel,4.4,440.0,46.8,False
PE-000015,ENG-00231,CON-0008,2025-04-14 14:00:00,Review,8.9,1112.5,40.4,False
PE-000016,ENG-00926,CON-0048,2025-02-26 17:55:00,Stakeholder Meeting,2.4,300.0,42.2,False
PE-000017,ENG-00678,CON-0033,2025-04-02 14:31:00,Review,8.5,1593.75,47.1,False
PE-000018,ENG-00299,CON-0153,2025-02-19 09:21:00,Stakeholder Meeting,8.9,2225.0,63.1,False
PE-000019,ENG-00302,CON-0118,2025-02-28 13:54:00,Analysis,6.0,1125.0,36.8,False
PE-000020,ENG-00151,CON-0069,2025-06-22 15:06:00,Delivery,1.4,175.0,58.1,False
PE-000021,ENG-00837,CON-0015,2025-05-08 19:39:00,Documentation,9.9,2475.0,0.0,True
PE-000022,ENG-00023,CON-0004,2025-02-01 11:35:00,Documentation,4.6,460.0,23.6,False
PE-000023,ENG-00522,CON-0185,2025-03-21 15:32:00,Workshop,7.1,1065.0,20.6,False
PE-000024,ENG-00537,CON-0091,2025-02-03 14:25:00,Travel,6.3,1181.25,18.0,False
PE-000025,ENG-00676,CON-0037,2025-03-11 19:54:00,Workshop,1.0,250.0,28.6,False
PE-000026,ENG-00583,CON-0177,2025-05-21 09:06:00,Analysis,9.2,1150.0,79.4,False
PE-000027,ENG-00700,CON-0122,2025-03-22 19:29:00,Review,9.9,1856.25,54.2,False
PE-000028,ENG-00711,CON-0137,2025-01-09 12:25:00,Review,3.1,581.25,70.0,False
PE-000029,ENG-00871,CON-0139,2025-01-29 19:54:00,Review,9.4,1762.5,53.4,False
PE-000030,ENG-00901,CON-0001,2025-03-29 14:11:00,Workshop,2.4,600.0,90.3,False
PE-000031,ENG-00238,CON-0024,2025-01-08 12:16:00,Delivery,8.5,2125.0,56.1,False
PE-000032,ENG-00374,CON-0155,2025-05-27 13:43:00,Review,1.9,237.5,64.1,False
PE-000033,ENG-00979,CON-0136,2025-05-26 08:24:00,Analysis,9.7,2425.0,93.1,False
PE-000034,ENG-00624,CON-0177,2025-06-05 08:05:00,Workshop,3.2,480.0,68.5,False
PE-000035,ENG-00389,CON-0030,2025-04-16 14:53:00,Delivery,4.6,862.5,5.4,True
PE-000036,ENG-00987,CON-0160,2025-02-08 18:06:00,Documentation,3.3,495.0,70.3,False
PE-000037,ENG-00032,CON-0025,2025-05-19 12:20:00,Travel,5.8,725.0,0.0,True
PE-000038,ENG-00149,CON-0161,2025-06-05 13:36:00,Stakeholder Meeting,2.5,312.5,50.6,False
PE-000039,ENG-00343,CON-0159,2025-02-11 12:52:00,Delivery,8.3,2075.0,48.1,False
PE-000040,ENG-00968,CON-0009,2025-04-18 18:09:00,Analysis,5.5,825.0,61.9,False
PE-000041,ENG-00351,CON-0043,2025-03-09 17:22:00,Stakeholder Meeting,1.2,150.0,0.0,True
PE-000042,ENG-00922,CON-0129,2025-04-24 13:33:00,Stakeholder Meeting,1.8,180.0,59.4,False
PE-000043,ENG-00409,CON-0065,2025-04-25 18:09:00,Workshop,3.2,480.0,23.0,False
PE-000044,ENG-00648,CON-0003,2025-03-21 10:57:00,Review,9.0,1687.5,12.3,False
PE-000045,ENG-00433,CON-0044,2025-03-12 18:13:00,Workshop,8.9,1668.75,73.1,False
PE-000046,ENG-00860,CON-0063,2025-06-28 16:26:00,Travel,8.6,2150.0,40.3,False
PE-000047,ENG-00244,CON-0057,2025-02-09 17:11:00,Analysis,6.9,690.0,19.5,False
PE-000048,ENG-00743,CON-0170,2025-01-10 09:14:00,Analysis,3.8,475.0,24.7,False
PE-000049,ENG-00162,CON-0199,2025-04-29 13:48:00,Stakeholder Meeting,5.4,540.0,56.3,False
PE-000050,ENG-00655,CON-0166,2025-06-11 18:23:00,Workshop,1.3,130.0,18.8,False
PE-000051,ENG-00288,CON-0081,2025-02-13 13:11:00,Review,7.8,780.0,0.0,True
PE-000052,ENG-00424,CON-0011,2025-01-24 15:43:00,Analysis,1.6,240.0,0.0,True
PE-000053,ENG-00461,CON-0046,2025-03-11 17:35:00,Workshop,5.2,650.0,11.6,False
PE-000054,ENG-00127,CON-0097,2025-03-19 17:42:00,Workshop,3.0,300.0,75.1,False
