timesheet_id,consultant_id,engagement_id,week_starting,task_type,hours_logged,is_billable,daily_rate_gbp,billed_value_gbp
TS-0000001,CON-0146,ENG-00098,2024-12-25,Business Development,0.91,0,407,0
TS-0000002,CON-0041,ENG-00281,2025-02-26,Client Work,9.2,1,716,823.4
TS-0000003,CON-0179,ENG-00744,2024-10-02,Training,4.41,0,694,0
TS-0000004,CON-0196,ENG-00567,2024-08-21,Admin,1.23,0,733,0
TS-0000005,CON-0027,ENG-00517,2024-11-20,Client Work,2.07,1,1271,328.87
TS-0000006,CON-0054,ENG-00519,2024-07-17,Client Work,1.2,1,1222,183.3
TS-0000007,CON-0178,ENG-00692,2025-01-22,Client Work,7.59,1,2843,2697.3
TS-0000008,CON-0050,ENG-00407,2024-07-17,Client Work,1.59,1,2804,557.3
TS-0000009,CON-0035,ENG-00335,2025-01-22,Client Work,1.15,1,613,88.12
TS-0000010,CON-0141,ENG-00673,2024-10-16,Business Development,4.66,0,414,0
TS-0000011,CON-0121,ENG-00841,2024-10-30,Internal,2.12,0,422,0
TS-0000012,CON-0005,ENG-00622,2024-08-14,Client Work,1.68,0,1189,0
TS-0000013,CON-0190,ENG-00401,2024-09-11,Client Work,7.75,1,741,717.84
TS-0000014,CON-0174,ENG-00280,2024-09-04,Client Work,2.19,1,2056,562.83
TS-0000015,CON-0183,ENG-00036,2025-02-26,Client Work,7.12,0,624,0
TS-0000016,CON-0163,ENG-00831,2025-02-19,Business Development,7.31,0,494,0
TS-0000017,CON-0027,ENG-00400,2024-11-13,Client Work,6.18,1,1271,981.85
TS-0000018,CON-0013,ENG-00791,2024-12-18,Internal,9.32,0,680,0
TS-0000019,CON-0096,ENG-00931,2024-10-16,Client Work,0.65,0,686,0
TS-0000020,CON-0008,ENG-00015,2024-11-27,Internal,6.96,0,861,0
TS-0000021,CON-0017,ENG-00226,2024-08-14,Internal,8.39,0,2876,0
TS-0000022,CON-0043,ENG-00742,2024-09-11,Client Work,5.37,1,930,624.26
TS-0000023,CON-0084,ENG-00331,2025-03-05,Business Development,6.43,0,959,0
TS-0000024,CON-0139,ENG-00405,2025-01-08,Client Work,2.53,1,932,294.75
TS-0000025,CON-0092,ENG-00332,2024-09-18,Client Work,6.71,1,1206,1011.53
TS-0000026,CON-0004,ENG-00399,2024-10-02,Client Work,1.13,1,671,94.78
TS-0000027,CON-0072,ENG-00666,2025-04-02,Client Work,1.14,1,1229,175.13
TS-0000028,CON-0056,ENG-00421,2024-11-13,Internal,5.25,0,420,0
TS-0000029,CON-0027,ENG-00730,2025-02-26,Internal,9.26,0,1271,0
TS-0000030,CON-0146,ENG-00176,2024-10-23,Admin,6.2,0,407,0
TS-0000031,CON-0162,ENG-00714,2024-12-18,Business Development,9.74,0,1964,0
TS-0000032,CON-0178,ENG-00137,2024-11-27,Client Work,7.74,1,2843,2750.6
TS-0000033,CON-0177,ENG-00326,2025-01-29,Client Work,0.67,1,907,75.96
TS-0000034,CON-0150,ENG-00460,2024-12-18,Client Work,7.55,1,668,630.42
TS-0000035,CON-0129,ENG-00602,2024-07-03,Client Work,6.36,1,1158,920.61
TS-0000036,CON-0032,ENG-00317,2024-10-16,Business Development,7.69,0,1610,0
TS-0000037,CON-0159,ENG-00082,2024-07-24,Client Work,5.24,1,724,474.22
TS-0000038,CON-0052,ENG-00156,2024-12-18,Client Work,0.86,1,1285,138.14
TS-0000039,CON-0186,ENG-00613,2025-01-15,Business Development,3.62,0,463,0
TS-0000040,CON-0072,ENG-00326,2024-07-17,Client Work,9.79,1,1229,1503.99
TS-0000041,CON-0166,ENG-00833,2024-11-06,Internal,2.68,0,1223,0
TS-0000042,CON-0188,ENG-00340,2024-11-27,Client Work,5.62,1,716,502.99
TS-0000043,CON-0171,ENG-00255,2024-10-09,Business Development,4.12,0,1240,0
TS-0000044,CON-0083,ENG-00188,2025-01-15,Business Development,1.11,0,985,0
TS-0000045,CON-0126,ENG-00072,2024-09-25,Client Work,9.92,1,678,840.72
TS-0000046,CON-0053,ENG-00129,2024-08-07,Client Work,5.71,1,634,452.52
TS-0000047,CON-0053,ENG-00242,2025-02-12,Client Work,7.39,1,634,585.66
TS-0000048,CON-0080,ENG-00169,2024-09-25,Client Work,2.18,1,476,129.71
TS-0000049,CON-0064,ENG-00311,2024-11-06,Client Work,9.69,1,689,834.55
TS-0000050,CON-0052,ENG-00279,2025-01-29,Client Work,9.74,1,1285,1564.49
TS-0000051,CON-0102,ENG-00387,2024-09-11,Client Work,4.52,0,497,0
TS-0000052,CON-0157,ENG-00753,2025-01-08,Internal,8.29,0,619,0
TS-0000053,CON-0124,ENG-00021,2024-12-18,Client Work,1.29,1,1980,319.28
TS-0000054,CON-0077,ENG-00610,2025-02-26,Client Work,7.4,1,1235,1142.38
TS-0000055,CON-0066,ENG-00390,2025-01-22,Client Work,3.19,1,2880,1148.4
TS-0000056,CON-0144,ENG-00621,2025-01-29,Client Work,1.8,0,673,0
TS-0000057,CON-0121,ENG-00201,2024-09-04,Training,0.54,0,422,0
TS-0000058,CON-0129,ENG-00748,2024-12-11,Client Work,9.29,1,1158,1344.73
TS-0000059,CON-0102,ENG-00994,2024-12-11,Client Work,3.42,0,497,0
TS-0000060,CON-0151,ENG-00073,2025-01-01,Training,9.93,0,1675,0
TS-0000061,CON-0032,ENG-00395,2025-03-12,Client Work,7.75,1,1610,1559.69
TS-0000062,CON-0066,ENG-00790,2024-12-04,Client Work,5.14,1,2880,1850.4
TS-0000063,CON-0177,ENG-00378,2024-07-24,Business Development,9.3,0,907,0
TS-0000064,CON-0189,ENG-00253,2024-10-16,Client Work,9.25,0,2835,0
TS-0000065,CON-0093,ENG-00647,2024-07-10,Business Development,6.63,0,703,0
TS-0000066,CON-0067,ENG-00620,2025-01-22,Admin,1.9,0,666,0
TS-0000067,CON-0064,ENG-00617,2025-03-19,Admin,8.49,0,689,0
TS-0000068,CON-0004,ENG-00120,2024-08-07,Business Development,9.21,0,671,0
TS-0000069,CON-0102,ENG-00724,2025-03-19,Admin,1.26,0,497,0
TS-0000070,CON-0049,ENG-00898,2025-01-08,Client Work,4.56,1,852,485.64
TS-0000071,CON-0178,ENG-00310,2025-02-12,Admin,6.76,0,2843,0
TS-0000072,CON-0098,ENG-00601,2024-11-13,Business Development,7.65,0,367,0
TS-0000073,CON-0187,ENG-00891,2024-08-07,Client Work,5.94,1,489,363.08
TS-0000074,CON-0089,ENG-00834,2024-09-04,Client Work,2.49,1,902,280.75
TS-0000075,CON-0192,ENG-00408,2024-11-13,Client Work,2.1,1,2794,733.43
TS-0000076,CON-0126,ENG-00002,2024-08-14,Client Work,7.12,1,678,603.42
TS-0000077,CON-0135,ENG-00427,2024-11-06,Business Development,2.12,0,432,0
TS-0000078,CON-0096,ENG-00191,2024-08-28,Client Work,2.23,0,686,0
TS-0000079,CON-0029,ENG-00462,2025-03-12,Internal,2.26,0,1245,0
TS-0000080,CON-0016,ENG-00768,2024-09-18,Internal,2.32,0,959,0
TS-0000081,CON-0105,ENG-00452,2025-04-02,Client Work,6.55,1,867,709.86
TS-0000082,CON-0021,ENG-00301,2024-08-07,Client Work,3.13,0,466,0
TS-0000083,CON-0088,ENG-00031,2025-03-19,Client Work,5.11,1,654,417.74
TS-0000084,CON-0195,ENG-00104,2024-07-03,Client Work,7.64,1,981,936.85
TS-0000085,CON-0002,ENG-00682,2025-03-19,Internal,0.9,0,1258,0
TS-0000086,CON-0055,ENG-00535,2024-07-03,Client Work,5.44,1,667,453.56
TS-0000087,CON-0195,ENG-00273,2025-02-05,Client Work,3.7,1,981,453.71
TS-0000088,CON-0110,ENG-00345,2024-12-11,Business Development,3.76,0,683,0
TS-0000089,CON-0081,ENG-00837,2024-10-16,Admin,6.82,0,1577,0
TS-0000090,CON-0097,ENG-00626,2024-07-24,Admin,8.79,0,1214,0
TS-0000091,CON-0026,ENG-00004,2025-01-22,Training,4.32,0,2074,0
TS-0000092,CON-0036,ENG-00027,2025-03-26,Client Work,5.54,1,377,261.07
TS-0000093,CON-0180,ENG-00770,2024-10-16,Client Work,6.37,1,945,752.46
TS-0000094,CON-0169,ENG-00891,2025-01-29,Client Work,6.77,0,925,0
TS-0000095,CON-0001,ENG-00654,2024-11-20,Client Work,3.92,1,920,450.8
TS-0000096,CON-0012,ENG-00993,2024-11-20,Business Development,2.72,0,2892,0
TS-0000097,CON-0125,ENG-00410,2025-04-02,Internal,3.81,0,983,0
TS-0000098,CON-0122,ENG-00675,2024-08-14,Business Development,3.29,0,472,0
TS-0000099,CON-0050,ENG-00730,2024-09-04,Training,8.82,0,2804,0
TS-0000100,CON-0184,ENG-00517,2024-07-17,Client Work,8.07,1,738,744.46
TS-0000101,CON-0078,ENG-00853,2025-03-05,Admin,4.93,0,1200,0
TS-0000102,CON-0115,ENG-00978,2024-08-21,Client Work,5.64,1,684,482.22
TS-0000103,CON-0063,ENG-00217,2024-09-11,Internal,6.77,0,627,0
TS-0000104,CON-0023,ENG-00109,2025-01-08,Admin,0.78,0,1600,0
TS-0000105,CON-0084,ENG-00925,2024-12-18,Internal,2.59,0,959,0
