snapshot_date,store_id,product_id,quantity_on_hand,quantity_on_order,reorder_point
2025-01-01,STR-001,SKU-0402,199,4,11
2025-01-01,STR-001,SKU-0144,199,3,13
2025-01-01,STR-001,SKU-0097,189,3,21
2025-01-01,STR-001,SKU-0231,92,11,13
2025-01-01,STR-001,SKU-0244,75,37,29
2025-01-01,STR-001,SKU-0117,184,22,12
2025-01-01,STR-001,SKU-0492,183,10,30
2025-01-01,STR-001,SKU-0058,70,48,18
2025-01-01,STR-001,SKU-0317,36,1,14
2025-01-01,STR-001,SKU-0485,31,45,22
2025-01-01,STR-001,SKU-0161,66,9,21
2025-01-01,STR-001,SKU-0218,70,40,10
2025-01-01,STR-001,SKU-0398,191,32,24
2025-01-01,STR-001,SKU-0301,181,33,25
2025-01-01,STR-001,SKU-0004,196,50,28
2025-01-01,STR-001,SKU-0477,136,37,10
2025-01-01,STR-001,SKU-0345,162,12,15
2025-01-01,STR-001,SKU-0153,135,36,18
2025-01-01,STR-001,SKU-0367,193,13,22
2025-01-01,STR-001,SKU-0133,70,3,11
2025-01-01,STR-001,SKU-0288,149,22,20
2025-01-01,STR-001,SKU-0112,53,15,17
2025-01-01,STR-001,SKU-0110,60,47,28
2025-01-01,STR-001,SKU-0003,133,46,13
2025-01-01,STR-001,SKU-0062,160,47,14
2025-01-01,STR-001,SKU-0046,28,29,24
2025-01-01,STR-001,SKU-0438,143,23,27
2025-01-01,STR-001,SKU-0280,71,40,19
2025-01-01,STR-001,SKU-0021,25,36,21
2025-01-01,STR-001,SKU-0008,20,16,30
2025-01-01,STR-001,SKU-0221,91,2,30
2025-01-01,STR-001,SKU-0041,160,17,10
2025-01-01,STR-001,SKU-0017,98,36,18
2025-01-01,STR-001,SKU-0297,31,24,20
2025-01-01,STR-001,SKU-0139,60,47,14
2025-01-01,STR-002,SKU-0171,3,16,10
2025-01-01,STR-002,SKU-0180,25,3,30
2025-01-01,STR-002,SKU-0414,151,22,11
2025-01-01,STR-002,SKU-0201,156,16,10
2025-01-01,STR-002,SKU-0220,143,4,21
2025-01-01,STR-002,SKU-0136,198,48,10
2025-01-01,STR-002,SKU-0007,188,28,21
2025-01-01,STR-002,SKU-0167,92,34,24
2025-01-01,STR-002,SKU-0337,74,21,18
2025-01-01,STR-002,SKU-0319,199,12,13
2025-01-01,STR-002,SKU-0283,55,17,14
2025-01-01,STR-002,SKU-0211,17,44,30
2025-01-01,STR-002,SKU-0349,39,18,14
2025-01-01,STR-002,SKU-0306,46,3,13
2025-01-01,STR-002,SKU-0137,17,14,12
2025-01-01,STR-002,SKU-0364,159,37,28
2025-01-01,STR-002,SKU-0036,67,23,16
2025-01-01,STR-002,SKU-0298,142,36,21
2025-01-01,STR-002,SKU-0125,23,38,26
2025-01-01,STR-002,SKU-0198,168,39,25
2025-01-01,STR-002,SKU-0030,114,37,15
2025-01-01,STR-002,SKU-0435,143,11,24
2025-01-01,STR-002,SKU-0087,93,21,27
2025-01-01,STR-002,SKU-0113,124,17,28
2025-01-01,STR-002,SKU-0343,75,13,18
2025-01-01,STR-002,SKU-0005,121,11,25
2025-01-01,STR-002,SKU-0391,10,16,15
2025-01-01,STR-002,SKU-0082,90,29,21
2025-01-01,STR-002,SKU-0315,40,14,24
2025-01-01,STR-002,SKU-0385,55,27,12
2025-01-01,STR-002,SKU-0440,82,41,16
2025-01-01,STR-002,SKU-0238,17,16,14
2025-01-01,STR-002,SKU-0288,60,0,17
2025-01-01,STR-002,SKU-0327,5,50,17
2025-01-01,STR-002,SKU-0405,48,8,10
2025-01-01,STR-003,SKU-0043,104,17,30
2025-01-01,STR-003,SKU-0382,170,26,23
2025-01-01,STR-003,SKU-0474,46,12,15
2025-01-01,STR-003,SKU-0046,94,38,13
2025-01-01,STR-003,SKU-0336,7,49,11
2025-01-01,STR-003,SKU-0299,184,20,22
2025-01-01,STR-003,SKU-0498,28,39,25
2025-01-01,STR-003,SKU-0241,99,22,21
2025-01-01,STR-003,SKU-0111,119,34,13
2025-01-01,STR-003,SKU-0080,70,8,30
2025-01-01,STR-003,SKU-0464,141,31,21
2025-01-01,STR-003,SKU-0074,95,8,13
2025-01-01,STR-003,SKU-0324,49,43,13
2025-01-01,STR-003,SKU-0473,121,6,12
2025-01-01,STR-003,SKU-0486,126,0,22
2025-01-01,STR-003,SKU-0088,152,4,30
2025-01-01,STR-003,SKU-0463,81,34,26
2025-01-01,STR-003,SKU-0122,48,20,19
2025-01-01,STR-003,SKU-0278,145,44,19
2025-01-01,STR-003,SKU-0303,122,34,10
2025-01-01,STR-003,SKU-0264,1,20,30
2025-01-01,STR-003,SKU-0081,29,23,10
2025-01-01,STR-003,SKU-0058,146,9,13
2025-01-01,STR-003,SKU-0018,111,20,19
2025-01-01,STR-003,SKU-0469,158,34,17
2025-01-01,STR-003,SKU-0066,9,28,29
2025-01-01,STR-003,SKU-0086,33,34,24
2025-01-01,STR-003,SKU-0230,41,22,28
2025-01-01,STR-003,SKU-0462,196,27,15
2025-01-01,STR-003,SKU-0466,93,8,26
2025-01-01,STR-003,SKU-0310,143,39,26
2025-01-01,STR-003,SKU-0052,93,37,26
2025-01-01,STR-003,SKU-0491,161,43,17
2025-01-01,STR-003,SKU-0172,92,33,19
2025-01-01,STR-003,SKU-0150,118,16,11
2025-01-01,STR-004,SKU-0527,135,15,21
2025-01-01,STR-004,SKU-0130,23,30,11
2025-01-01,STR-004,SKU-0042,165,10,18
2025-01-01,STR-004,SKU-0357,66,43,17
2025-01-01,STR-004,SKU-0026,187,1,11
2025-01-01,STR-004,SKU-0416,77,3,15
2025-01-01,STR-004,SKU-0040,129,33,26
2025-01-01,STR-004,SKU-0102,37,16,28
2025-01-01,STR-004,SKU-0020,134,6,19
2025-01-01,STR-004,SKU-0032,93,11,30
2025-01-01,STR-004,SKU-0122,142,18,12
2025-01-01,STR-004,SKU-0538,33,42,23
2025-01-01,STR-004,SKU-0101,179,28,18
2025-01-01,STR-004,SKU-0171,35,2,11
2025-01-01,STR-004,SKU-0421,145,46,23
2025-01-01,STR-004,SKU-0301,188,35,26
2025-01-01,STR-004,SKU-0038,168,12,10
2025-01-01,STR-004,SKU-0197,200,6,16
2025-01-01,STR-004,SKU-0471,54,4,18
2025-01-01,STR-004,SKU-0325,60,42,12
2025-01-01,STR-004,SKU-0061,107,28,15
2025-01-01,STR-004,SKU-0272,79,3,20
2025-01-01,STR-004,SKU-0027,79,47,15
2025-01-01,STR-004,SKU-0429,95,28,13
2025-01-01,STR-004,SKU-0262,104,35,26
2025-01-01,STR-004,SKU-0163,59,41,16
2025-01-01,STR-004,SKU-0519,102,8,22
2025-01-01,STR-004,SKU-0418,67,35,29
2025-01-01,STR-004,SKU-0210,161,19,20
2025-01-01,STR-004,SKU-0401,112,2,13
2025-01-01,STR-004,SKU-0057,157,40,10
2025-01-01,STR-004,SKU-0050,85,6,29
2025-01-01,STR-004,SKU-0157,111,12,16
2025-01-01,STR-004,SKU-0017,144,29,25
2025-01-01,STR-004,SKU-0114,44,42,29
2025-01-01,STR-005,SKU-0045,83,26,28
2025-01-01,STR-005,SKU-0486,82,41,18
2025-01-01,STR-005,SKU-0253,121,39,16
2025-01-01,STR-005,SKU-0278,187,18,14
2025-01-01,STR-005,SKU-0146,78,7,24
2025-01-01,STR-005,SKU-0214,120,39,17
2025-01-01,STR-005,SKU-0134,161,9,11
2025-01-01,STR-005,SKU-0188,22,25,25
2025-01-01,STR-005,SKU-0049,5,28,14
2025-01-01,STR-005,SKU-0243,44,1,12
2025-01-01,STR-005,SKU-0265,199,7,12
2025-01-01,STR-005,SKU-0344,59,4,29
2025-01-01,STR-005,SKU-0492,18,9,23
2025-01-01,STR-005,SKU-0213,54,5,18
2025-01-01,STR-005,SKU-0027,163,17,19
2025-01-01,STR-005,SKU-0262,64,19,25
2025-01-01,STR-005,SKU-0070,131,17,17
2025-01-01,STR-005,SKU-0063,65,16,23
2025-01-01,STR-005,SKU-0387,108,16,17
2025-01-01,STR-005,SKU-0017,142,48,15
2025-01-01,STR-005,SKU-0177,90,4,23
2025-01-01,STR-005,SKU-0095,149,47,14
2025-01-01,STR-005,SKU-0097,171,16,12
2025-01-01,STR-005,SKU-0507,132,8,24
2025-01-01,STR-005,SKU-0108,107,18,16
2025-01-01,STR-005,SKU-0335,182,9,30
2025-01-01,STR-005,SKU-0175,196,44,20
2025-01-01,STR-005,SKU-0317,127,46,21
2025-01-01,STR-005,SKU-0232,119,17,28
2025-01-01,STR-005,SKU-0179,64,44,14
2025-01-01,STR-005,SKU-0535,75,42,26
2025-01-01,STR-005,SKU-0140,170,24,15
2025-01-01,STR-005,SKU-0352,86,46,11
2025-01-01,STR-005,SKU-0487,6,47,13
2025-01-01,STR-005,SKU-0373,132,29,28
2025-01-01,STR-006,SKU-0058,9,44,18
2025-01-01,STR-006,SKU-0512,54,30,10
2025-01-01,STR-006,SKU-0302,36,27,15
2025-01-01,STR-006,SKU-0007,88,12,16
2025-01-01,STR-006,SKU-0238,122,19,25
2025-01-01,STR-006,SKU-0445,26,37,22
2025-01-01,STR-006,SKU-0259,38,18,26
2025-01-01,STR-006,SKU-0029,21,2,29
2025-01-01,STR-006,SKU-0395,157,49,23
2025-01-01,STR-006,SKU-0142,58,3,23
2025-01-01,STR-006,SKU-0305,197,14,24
