account_id,plan,mrr_usd,industry,region,signup_date,churn_date,is_churned,seat_count,health_score
ACC-00001,Professional,1636.0,Manufacturing,North America,2022-02-11,,0,51,91.3
ACC-00002,Starter,109.0,Professional Services,Europe,2021-03-11,2025-02-10,1,20,42.0
ACC-00003,Starter,129.0,Professional Services,APAC,2022-02-07,,0,11,32.0
ACC-00004,Starter,110.0,Retail,North America,2021-12-06,,0,15,32.3
ACC-00005,Growth,553.0,Technology,North America,2022-02-27,,0,39,90.1
ACC-00006,Professional,1851.0,Healthcare,APAC,2023-03-04,,0,45,96.6
ACC-00007,Starter,95.0,Education,APAC,2021-10-12,,0,12,42.4
ACC-00008,Growth,463.0,Technology,Europe,2022-04-15,,0,49,87.3
ACC-00009,Growth,578.0,Healthcare,North America,2023-07-11,,0,32,72.3
ACC-00010,Starter,87.0,Healthcare,North America,2023-03-05,,0,16,50.2
ACC-00011,Growth,648.0,Technology,North America,2024-06-29,,0,13,80.4
ACC-00012,Growth,466.0,Manufacturing,North America,2024-04-02,,0,26,71.5
ACC-00013,Starter,91.0,Healthcare,LATAM,2022-12-06,,0,6,29.8
ACC-00014,Professional,1645.0,Technology,North America,2023-02-14,,0,29,93.3
ACC-00015,Growth,473.0,Media,APAC,2022-12-09,,0,8,76.0
ACC-00016,Growth,447.0,Technology,North America,2024-03-14,2025-02-14,1,22,84.1
ACC-00017,Growth,471.0,Media,North America,2022-08-01,2025-01-14,1,11,65.9
ACC-00018,Professional,1342.0,Media,Europe,2023-02-23,,0,109,94.7
ACC-00019,Starter,113.0,Media,North America,2023-06-17,2025-03-16,1,8,34.5
ACC-00020,Starter,121.0,Technology,APAC,2021-12-30,,0,11,27.9
ACC-00021,Starter,114.0,Retail,APAC,2021-08-01,,0,43,58.1
ACC-00022,Growth,494.0,Professional Services,North America,2024-04-05,,0,13,82.3
ACC-00023,Professional,2009.0,Manufacturing,North America,2022-11-01,,0,30,98.5
ACC-00024,Starter,125.0,Manufacturing,North America,2021-02-24,,0,13,37.0
ACC-00025,Starter,117.0,Retail,APAC,2023-09-03,2025-02-09,1,6,38.8
ACC-00026,Starter,91.0,Professional Services,North America,2023-09-24,,0,17,44.7
ACC-00027,Professional,1864.0,Finance,North America,2023-03-06,,0,14,88.1
ACC-00028,Growth,606.0,Manufacturing,North America,2021-01-21,,0,44,86.2
ACC-00029,Starter,92.0,Media,LATAM,2024-04-03,,0,13,30.7
ACC-00030,Professional,1289.0,Finance,APAC,2023-11-30,,0,68,86.6
ACC-00031,Professional,1771.0,Education,North America,2021-03-12,,0,24,82.8
ACC-00032,Starter,97.0,Healthcare,APAC,2021-01-23,2025-01-10,1,6,40.5
ACC-00033,Professional,1530.0,Media,North America,2021-03-20,,0,28,83.5
ACC-00034,Starter,87.0,Education,Europe,2024-09-15,2025-03-16,1,14,24.6
ACC-00035,Professional,1976.0,Retail,North America,2021-05-05,,0,40,92.5
ACC-00036,Starter,104.0,Professional Services,North America,2024-07-18,,0,14,18.8
