user_id,account_id,role,is_active,last_login_date,signup_date,logins_last_30_days
USR-0000001,ACC-00680,Manager,1,2025-02-02,2021-11-10,23
USR-0000002,ACC-00715,Developer,1,2025-02-25,2021-10-29,7
USR-0000003,ACC-00957,Admin,1,2025-03-13,2024-10-21,1
USR-0000004,ACC-01981,Analyst,1,2025-01-12,2022-05-29,30
USR-0000005,ACC-01702,Admin,1,2025-01-20,2023-04-25,27
USR-0000006,ACC-01852,Admin,1,2025-01-29,2022-01-14,6
USR-0000007,ACC-00471,Viewer,0,2024-07-17,2024-04-23,0
USR-0000008,ACC-00516,Admin,1,2025-02-16,2023-02-06,19
USR-0000009,ACC-01610,Analyst,1,2025-02-21,2021-06-04,21
USR-0000010,ACC-00097,Admin,1,2025-01-15,2024-11-30,15
USR-0000011,ACC-01660,Manager,1,2025-03-30,2023-05-21,18
USR-0000012,ACC-00323,Viewer,1,2025-02-14,2023-03-19,14
USR-0000013,ACC-01128,Manager,1,2025-01-21,2021-07-06,22
USR-0000014,ACC-00981,Admin,1,2025-01-08,2021-03-09,17
USR-0000015,ACC-00370,Manager,1,2025-03-09,2021-12-14,20
USR-0000016,ACC-01118,Admin,1,2025-03-03,2021-12-28,11
USR-0000017,ACC-01253,Manager,1,2025-02-27,2021-01-09,28
USR-0000018,ACC-00882,Admin,1,2025-01-30,2022-07-04,12
USR-0000019,ACC-00659,Manager,1,2025-03-12,2020-12-26,4
USR-0000020,ACC-00333,Analyst,1,2025-03-13,2022-03-16,23
USR-0000021,ACC-01736,Developer,0,2025-01-21,2023-03-14,8
USR-0000022,ACC-00081,Analyst,1,2025-01-10,2024-02-22,6
USR-0000023,ACC-00552,Viewer,1,2025-03-16,2022-03-28,21
USR-0000024,ACC-00153,Analyst,1,2025-03-03,2023-07-02,1
USR-0000025,ACC-01434,Admin,0,2025-02-18,2023-04-16,1
USR-0000026,ACC-00653,Manager,1,2025-01-02,2024-05-19,19
USR-0000027,ACC-01186,Analyst,1,2025-03-14,2022-12-13,18
USR-0000028,ACC-00467,Developer,1,2025-02-14,2024-12-14,16
USR-0000029,ACC-01858,Viewer,1,2025-01-27,2021-11-22,23
USR-0000030,ACC-01724,Developer,1,2025-01-08,2023-02-06,31
USR-0000031,ACC-00551,Admin,1,2025-02-09,2022-05-11,15
USR-0000032,ACC-00929,Manager,1,2025-03-08,2021-01-25,27
USR-0000033,ACC-00135,Manager,1,2025-03-23,2022-07-27,18
USR-0000034,ACC-00237,Analyst,1,2025-03-15,2024-10-23,14
USR-0000035,ACC-00273,Developer,1,2025-02-24,2023-09-21,23
USR-0000036,ACC-01710,Admin,1,2025-03-27,2023-08-10,19
USR-0000037,ACC-01356,Developer,0,2025-03-13,2024-03-05,4
USR-0000038,ACC-00103,Developer,1,2025-03-26,2023-06-09,6
USR-0000039,ACC-01112,Admin,1,2025-02-18,2023-12-05,2
USR-0000040,ACC-01036,Analyst,1,2025-01-14,2024-03-28,4
USR-0000041,ACC-00563,Developer,1,2025-01-15,2024-01-12,17
