log_id,vehicle_id,log_date,depot,odometer_km,litres_filled,cost_per_litre,total_cost_gbp,fuel_type
FL-0000001,VEH-0004,2025-01-26,Birmingham,128936,90.6,1.666,150.92,HVO
FL-0000002,VEH-0038,2025-03-17,Manchester,54845,100.5,1.598,160.56,Diesel
FL-0000003,VEH-0018,2025-02-14,Leeds,262439,90.8,1.697,154.13,Diesel
FL-0000004,VEH-0065,2025-01-08,Leeds,262677,108.2,1.699,183.85,Diesel
FL-0000005,VEH-0071,2025-03-26,Bristol,97976,81.1,1.687,136.9,Diesel
FL-0000006,VEH-0087,2025-03-28,Bristol,176847,120.2,1.826,219.53,Diesel
FL-0000007,VEH-0071,2025-02-23,Bristol,57879,91.3,1.797,164.14,Diesel
FL-0000008,VEH-0057,2025-01-06,Glasgow,192472,79.6,1.595,126.96,Diesel
FL-0000009,VEH-0034,2025-01-23,Glasgow,246826,111.9,1.787,199.97,Diesel
FL-0000010,VEH-0089,2025-01-31,London,188143,125.4,1.661,208.31,Diesel
FL-0000011,VEH-0051,2025-01-11,Glasgow,68363,79.4,1.814,144.01,Diesel
FL-0000012,VEH-0076,2025-02-26,London,236292,113.8,1.756,199.8,Diesel
FL-0000013,VEH-0052,2025-01-28,London,214292,76.2,1.822,138.83,Diesel
FL-0000014,VEH-0030,2025-03-22,London,90951,119.8,1.551,185.88,Diesel
FL-0000015,VEH-0037,2025-03-05,Glasgow,192978,98.6,1.794,176.97,Diesel
FL-0000016,VEH-0003,2025-01-19,Leeds,211949,129.0,1.509,194.72,Diesel
FL-0000017,VEH-0034,2025-03-22,Glasgow,292005,163.7,1.639,268.35,Diesel
FL-0000018,VEH-0091,2025-02-26,Manchester,104479,112.3,1.844,207.16,Diesel
FL-0000019,VEH-0089,2025-03-27,London,246922,107.2,1.783,191.19,Diesel
FL-0000020,VEH-0008,2025-01-20,Glasgow,269168,127.7,1.634,208.61,Diesel
FL-0000021,VEH-0032,2025-03-17,Manchester,127652,95.6,1.562,149.35,Diesel
FL-0000022,VEH-0074,2025-01-13,Manchester,209356,63.7,1.711,108.95,Diesel
FL-0000023,VEH-0065,2025-03-25,Leeds,188438,104.5,1.827,190.85,Diesel
FL-0000024,VEH-0066,2025-01-01,Bristol,261429,84.0,1.795,150.74,Diesel
FL-0000025,VEH-0086,2025-03-15,Leeds,60625,77.4,1.456,112.74,Electric
FL-0000026,VEH-0057,2025-01-19,Glasgow,271482,124.4,1.466,182.4,Electric
FL-0000027,VEH-0070,2025-03-04,London,115807,38.0,1.469,55.76,Diesel
FL-0000028,VEH-0092,2025-01-13,Leeds,188180,127.9,1.831,234.15,Diesel
FL-0000029,VEH-0074,2025-01-20,Manchester,239667,76.6,1.52,116.37,Diesel
FL-0000030,VEH-0047,2025-01-19,London,192682,84.5,1.773,149.88,Diesel
FL-0000031,VEH-0077,2025-01-27,London,258629,135.9,1.702,231.32,Diesel
FL-0000032,VEH-0038,2025-02-11,Manchester,133309,114.1,1.812,206.79,Diesel
FL-0000033,VEH-0063,2025-02-15,London,81882,151.0,1.467,221.54,Diesel
FL-0000034,VEH-0048,2025-02-03,Glasgow,203739,151.6,1.776,269.31,Diesel
FL-0000035,VEH-0093,2025-02-27,Bristol,208653,127.3,1.733,220.6,HVO
FL-0000036,VEH-0067,2025-03-26,Manchester,84391,74.0,1.751,129.57,Diesel
FL-0000037,VEH-0067,2025-03-16,Manchester,192153,126.5,1.587,200.77,HVO
FL-0000038,VEH-0075,2025-01-03,Glasgow,179588,173.4,1.539,266.86,Diesel
FL-0000039,VEH-0067,2025-03-16,Manchester,126393,160.2,1.475,236.33,Diesel
FL-0000040,VEH-0045,2025-03-14,Birmingham,79103,95.2,1.734,165.09,Diesel
FL-0000041,VEH-0056,2025-02-24,Leeds,52184,88.7,1.848,163.87,Diesel
FL-0000042,VEH-0071,2025-02-25,Bristol,184901,97.6,1.697,165.68,Diesel
FL-0000043,VEH-0083,2025-02-19,Birmingham,209774,107.4,1.741,186.94,Diesel
FL-0000044,VEH-0071,2025-02-01,Bristol,207022,102.9,1.655,170.27,Electric
FL-0000045,VEH-0013,2025-02-15,Birmingham,60797,121.2,1.817,220.13,HVO
FL-0000046,VEH-0009,2025-03-11,Manchester,85924,80.8,1.722,139.22,Diesel
FL-0000047,VEH-0083,2025-02-07,Birmingham,199951,84.4,1.46,123.29,Electric
FL-0000048,VEH-0073,2025-01-10,London,296310,79.1,1.609,127.2,Diesel
FL-0000049,VEH-0048,2025-03-29,Glasgow,52863,161.9,1.543,249.83,Electric
FL-0000050,VEH-0065,2025-03-09,Leeds,183232,81.6,1.829,149.33,Diesel
FL-0000051,VEH-0062,2025-03-09,Leeds,205121,123.7,1.586,196.22,Diesel
FL-0000052,VEH-0084,2025-03-18,Bristol,122636,62.6,1.691,105.93,Diesel
FL-0000053,VEH-0026,2025-02-07,Manchester,164448,154.8,1.576,243.98,Diesel
FL-0000054,VEH-0086,2025-02-19,Leeds,90525,132.6,1.839,243.81,HVO
FL-0000055,VEH-0097,2025-03-10,London,141305,109.0,1.463,159.53,Diesel
FL-0000056,VEH-0045,2025-02-22,Birmingham,127860,109.3,1.75,191.21,Diesel
FL-0000057,VEH-0091,2025-02-26,Manchester,111346,105.0,1.548,162.59,Diesel
FL-0000058,VEH-0086,2025-03-24,Leeds,98277,155.6,1.809,281.49,Diesel
FL-0000059,VEH-0076,2025-01-23,London,114577,102.4,1.459,149.38,Diesel
FL-0000060,VEH-0011,2025-01-23,Glasgow,87634,125.3,1.525,191.05,Diesel
FL-0000061,VEH-0068,2025-01-23,Bristol,58863,72.7,1.797,130.73,Electric
FL-0000062,VEH-0059,2025-01-13,London,164607,112.4,1.592,178.9,Diesel
FL-0000063,VEH-0010,2025-03-23,London,285601,83.2,1.533,127.54,Diesel
FL-0000064,VEH-0065,2025-01-12,Leeds,145465,67.5,1.547,104.44,Diesel
FL-0000065,VEH-0086,2025-01-14,Leeds,282334,89.3,1.542,137.73,Diesel
FL-0000066,VEH-0047,2025-01-06,London,60093,128.1,1.623,207.93,Electric
FL-0000067,VEH-0001,2025-01-23,Birmingham,238260,145.0,1.761,255.27,Diesel
FL-0000068,VEH-0100,2025-03-16,Leeds,183326,109.8,1.761,193.43,Diesel
FL-0000069,VEH-0073,2025-02-26,London,75408,55.5,1.509,83.71,Electric
FL-0000070,VEH-0088,2025-03-27,Manchester,285943,226.0,1.62,366.06,Diesel
